group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,1044655.0,ns,32559
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,2136030.0,ns,65118
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,3150081.0,ns,97677
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,4192388.0,ns,130236
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,5235044.0,ns,162795
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,6261697.0,ns,195354
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,7298774.0,ns,227913
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,8405082.0,ns,260472
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,9464048.0,ns,293031
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,10482778.0,ns,325590
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,11672364.0,ns,358149
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,12665297.0,ns,390708
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,13724547.0,ns,423267
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,14705865.0,ns,455826
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,15854974.0,ns,488385
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,16858299.0,ns,520944
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,17917432.0,ns,553503
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,19006750.0,ns,586062
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,20004900.0,ns,618621
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,21180448.0,ns,651180
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,22324907.0,ns,683739
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,23235814.0,ns,716298
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,24354537.0,ns,748857
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,25382081.0,ns,781416
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,26481150.0,ns,813975
wide rotation3 return self,ultraviolet_f32x4,16,16,elements,27428741.0,ns,846534
