group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide vector3 cross,glam_f32x1,16,16,elements,996640.0,ns,23423
wide vector3 cross,glam_f32x1,16,16,elements,1965083.0,ns,46846
wide vector3 cross,glam_f32x1,16,16,elements,3055674.0,ns,70269
wide vector3 cross,glam_f32x1,16,16,elements,3938979.0,ns,93692
wide vector3 cross,glam_f32x1,16,16,elements,4959135.0,ns,117115
wide vector3 cross,glam_f32x1,16,16,elements,5955748.0,ns,140538
wide vector3 cross,glam_f32x1,16,16,elements,6888074.0,ns,163961
wide vector3 cross,glam_f32x1,16,16,elements,7924054.0,ns,187384
wide vector3 cross,glam_f32x1,16,16,elements,8961412.0,ns,210807
wide vector3 cross,glam_f32x1,16,16,elements,9831861.0,ns,234230
wide vector3 cross,glam_f32x1,16,16,elements,11009472.0,ns,257653
wide vector3 cross,glam_f32x1,16,16,elements,11859000.0,ns,281076
wide vector3 cross,glam_f32x1,16,16,elements,13020552.0,ns,304499
wide vector3 cross,glam_f32x1,16,16,elements,13826108.0,ns,327922
wide vector3 cross,glam_f32x1,16,16,elements,14864013.0,ns,351345
wide vector3 cross,glam_f32x1,16,16,elements,15791195.0,ns,374768
wide vector3 cross,glam_f32x1,16,16,elements,16741270.0,ns,398191
wide vector3 cross,glam_f32x1,16,16,elements,17709327.0,ns,421614
wide vector3 cross,glam_f32x1,16,16,elements,18735830.0,ns,445037
wide vector3 cross,glam_f32x1,16,16,elements,19695871.0,ns,468460
wide vector3 cross,glam_f32x1,16,16,elements,20820604.0,ns,491883
wide vector3 cross,glam_f32x1,16,16,elements,21821385.0,ns,515306
wide vector3 cross,glam_f32x1,16,16,elements,22768638.0,ns,538729
wide vector3 cross,glam_f32x1,16,16,elements,23670499.0,ns,562152
wide vector3 cross,glam_f32x1,16,16,elements,24609767.0,ns,585575
wide vector3 cross,glam_f32x1,16,16,elements,25663324.0,ns,608998
wide vector3 cross,glam_f32x1,16,16,elements,26623684.0,ns,632421
wide vector3 cross,glam_f32x1,16,16,elements,27593181.0,ns,655844
wide vector3 cross,glam_f32x1,16,16,elements,28709457.0,ns,679267
wide vector3 cross,glam_f32x1,16,16,elements,29708149.0,ns,702690
wide vector3 cross,glam_f32x1,16,16,elements,30624508.0,ns,726113
wide vector3 cross,glam_f32x1,16,16,elements,31615995.0,ns,749536
wide vector3 cross,glam_f32x1,16,16,elements,32593502.0,ns,772959
wide vector3 cross,glam_f32x1,16,16,elements,33704402.0,ns,796382
wide vector3 cross,glam_f32x1,16,16,elements,34702173.0,ns,819805
wide vector3 cross,glam_f32x1,16,16,elements,35632759.0,ns,843228
wide vector3 cross,glam_f32x1,16,16,elements,36475900.0,ns,866651
wide vector3 cross,glam_f32x1,16,16,elements,37801270.0,ns,890074
wide vector3 cross,glam_f32x1,16,16,elements,38430122.0,ns,913497
wide vector3 cross,glam_f32x1,16,16,elements,39530347.0,ns,936920
wide vector3 cross,glam_f32x1,16,16,elements,40663483.0,ns,960343
wide vector3 cross,glam_f32x1,16,16,elements,41353507.0,ns,983766
wide vector3 cross,glam_f32x1,16,16,elements,42380834.0,ns,1007189
wide vector3 cross,glam_f32x1,16,16,elements,43437686.0,ns,1030612
wide vector3 cross,glam_f32x1,16,16,elements,44640458.0,ns,1054035
wide vector3 cross,glam_f32x1,16,16,elements,45365385.0,ns,1077458
wide vector3 cross,glam_f32x1,16,16,elements,46578192.0,ns,1100881
wide vector3 cross,glam_f32x1,16,16,elements,47401397.0,ns,1124304
wide vector3 cross,glam_f32x1,16,16,elements,48547364.0,ns,1147727
wide vector3 cross,glam_f32x1,16,16,elements,49330991.0,ns,1171150
wide vector3 cross,glam_f32x1,16,16,elements,50241487.0,ns,1194573
wide vector3 cross,glam_f32x1,16,16,elements,51333314.0,ns,1217996
wide vector3 cross,glam_f32x1,16,16,elements,52457663.0,ns,1241419
wide vector3 cross,glam_f32x1,16,16,elements,53325419.0,ns,1264842
wide vector3 cross,glam_f32x1,16,16,elements,54330769.0,ns,1288265
wide vector3 cross,glam_f32x1,16,16,elements,55276659.0,ns,1311688
wide vector3 cross,glam_f32x1,16,16,elements,56384187.0,ns,1335111
wide vector3 cross,glam_f32x1,16,16,elements,57475656.0,ns,1358534
wide vector3 cross,glam_f32x1,16,16,elements,58254864.0,ns,1381957
wide vector3 cross,glam_f32x1,16,16,elements,59535897.0,ns,1405380
wide vector3 cross,glam_f32x1,16,16,elements,60164147.0,ns,1428803
wide vector3 cross,glam_f32x1,16,16,elements,61151745.0,ns,1452226
wide vector3 cross,glam_f32x1,16,16,elements,62619564.0,ns,1475649
wide vector3 cross,glam_f32x1,16,16,elements,63201498.0,ns,1499072
wide vector3 cross,glam_f32x1,16,16,elements,64075935.0,ns,1522495
wide vector3 cross,glam_f32x1,16,16,elements,65516225.0,ns,1545918
wide vector3 cross,glam_f32x1,16,16,elements,66076144.0,ns,1569341
wide vector3 cross,glam_f32x1,16,16,elements,67055885.0,ns,1592764
wide vector3 cross,glam_f32x1,16,16,elements,68309565.0,ns,1616187
wide vector3 cross,glam_f32x1,16,16,elements,69049003.0,ns,1639610
wide vector3 cross,glam_f32x1,16,16,elements,70097182.0,ns,1663033
wide vector3 cross,glam_f32x1,16,16,elements,71159242.0,ns,1686456
wide vector3 cross,glam_f32x1,16,16,elements,72184002.0,ns,1709879
wide vector3 cross,glam_f32x1,16,16,elements,73243766.0,ns,1733302
wide vector3 cross,glam_f32x1,16,16,elements,74065287.0,ns,1756725
wide vector3 cross,glam_f32x1,16,16,elements,75145915.0,ns,1780148
wide vector3 cross,glam_f32x1,16,16,elements,76241825.0,ns,1803571
wide vector3 cross,glam_f32x1,16,16,elements,76905536.0,ns,1826994
wide vector3 cross,glam_f32x1,16,16,elements,78326317.0,ns,1850417
wide vector3 cross,glam_f32x1,16,16,elements,79100364.0,ns,1873840
wide vector3 cross,glam_f32x1,16,16,elements,79860688.0,ns,1897263
wide vector3 cross,glam_f32x1,16,16,elements,81016663.0,ns,1920686
wide vector3 cross,glam_f32x1,16,16,elements,81976779.0,ns,1944109
wide vector3 cross,glam_f32x1,16,16,elements,83009763.0,ns,1967532
wide vector3 cross,glam_f32x1,16,16,elements,84277161.0,ns,1990955
wide vector3 cross,glam_f32x1,16,16,elements,85334443.0,ns,2014378
wide vector3 cross,glam_f32x1,16,16,elements,85844325.0,ns,2037801
wide vector3 cross,glam_f32x1,16,16,elements,86817010.0,ns,2061224
wide vector3 cross,glam_f32x1,16,16,elements,88119459.0,ns,2084647
wide vector3 cross,glam_f32x1,16,16,elements,88798514.0,ns,2108070
wide vector3 cross,glam_f32x1,16,16,elements,90112676.0,ns,2131493
wide vector3 cross,glam_f32x1,16,16,elements,90672849.0,ns,2154916
wide vector3 cross,glam_f32x1,16,16,elements,91949806.0,ns,2178339
wide vector3 cross,glam_f32x1,16,16,elements,92893478.0,ns,2201762
wide vector3 cross,glam_f32x1,16,16,elements,94002336.0,ns,2225185
wide vector3 cross,glam_f32x1,16,16,elements,94606296.0,ns,2248608
wide vector3 cross,glam_f32x1,16,16,elements,95897413.0,ns,2272031
wide vector3 cross,glam_f32x1,16,16,elements,96764252.0,ns,2295454
wide vector3 cross,glam_f32x1,16,16,elements,97786266.0,ns,2318877
wide vector3 cross,glam_f32x1,16,16,elements,98784638.0,ns,2342300
