group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide vector3 dot,ultraviolet_f32x4,16,16,elements,1187054.0,ns,78184
wide vector3 dot,ultraviolet_f32x4,16,16,elements,2201603.0,ns,156368
wide vector3 dot,ultraviolet_f32x4,16,16,elements,3172091.0,ns,234552
wide vector3 dot,ultraviolet_f32x4,16,16,elements,4180567.0,ns,312736
wide vector3 dot,ultraviolet_f32x4,16,16,elements,5124596.0,ns,390920
wide vector3 dot,ultraviolet_f32x4,16,16,elements,6237804.0,ns,469104
wide vector3 dot,ultraviolet_f32x4,16,16,elements,7156166.0,ns,547288
wide vector3 dot,ultraviolet_f32x4,16,16,elements,8169690.0,ns,625472
wide vector3 dot,ultraviolet_f32x4,16,16,elements,9176785.0,ns,703656
wide vector3 dot,ultraviolet_f32x4,16,16,elements,10095024.0,ns,781840
wide vector3 dot,ultraviolet_f32x4,16,16,elements,11149364.0,ns,860024
wide vector3 dot,ultraviolet_f32x4,16,16,elements,12079421.0,ns,938208
wide vector3 dot,ultraviolet_f32x4,16,16,elements,12887878.0,ns,1016392
wide vector3 dot,ultraviolet_f32x4,16,16,elements,14252743.0,ns,1094576
wide vector3 dot,ultraviolet_f32x4,16,16,elements,15052218.0,ns,1172760
wide vector3 dot,ultraviolet_f32x4,16,16,elements,16170528.0,ns,1250944
wide vector3 dot,ultraviolet_f32x4,16,16,elements,17781913.0,ns,1329128
wide vector3 dot,ultraviolet_f32x4,16,16,elements,18347523.0,ns,1407312
wide vector3 dot,ultraviolet_f32x4,16,16,elements,19135543.0,ns,1485496
wide vector3 dot,ultraviolet_f32x4,16,16,elements,20287900.0,ns,1563680
wide vector3 dot,ultraviolet_f32x4,16,16,elements,21059751.0,ns,1641864
wide vector3 dot,ultraviolet_f32x4,16,16,elements,22313528.0,ns,1720048
wide vector3 dot,ultraviolet_f32x4,16,16,elements,23525446.0,ns,1798232
wide vector3 dot,ultraviolet_f32x4,16,16,elements,24385747.0,ns,1876416
wide vector3 dot,ultraviolet_f32x4,16,16,elements,25368200.0,ns,1954600
wide vector3 dot,ultraviolet_f32x4,16,16,elements,26570465.0,ns,2032784
wide vector3 dot,ultraviolet_f32x4,16,16,elements,27313318.0,ns,2110968
wide vector3 dot,ultraviolet_f32x4,16,16,elements,28364551.0,ns,2189152
wide vector3 dot,ultraviolet_f32x4,16,16,elements,28732472.0,ns,2267336
wide vector3 dot,ultraviolet_f32x4,16,16,elements,30096583.0,ns,2345520
