group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
wide vector3 length,glam_f32x1,16,16,elements,992658.0,ns,30415
wide vector3 length,glam_f32x1,16,16,elements,1976964.0,ns,60830
wide vector3 length,glam_f32x1,16,16,elements,2964662.0,ns,91245
wide vector3 length,glam_f32x1,16,16,elements,3995334.0,ns,121660
wide vector3 length,glam_f32x1,16,16,elements,4964155.0,ns,152075
wide vector3 length,glam_f32x1,16,16,elements,5981849.0,ns,182490
wide vector3 length,glam_f32x1,16,16,elements,6924060.0,ns,212905
wide vector3 length,glam_f32x1,16,16,elements,8043357.0,ns,243320
wide vector3 length,glam_f32x1,16,16,elements,8962070.0,ns,273735
wide vector3 length,glam_f32x1,16,16,elements,9927639.0,ns,304150
wide vector3 length,glam_f32x1,16,16,elements,10874374.0,ns,334565
wide vector3 length,glam_f32x1,16,16,elements,11865644.0,ns,364980
wide vector3 length,glam_f32x1,16,16,elements,12920857.0,ns,395395
wide vector3 length,glam_f32x1,16,16,elements,13866788.0,ns,425810
wide vector3 length,glam_f32x1,16,16,elements,14967065.0,ns,456225
wide vector3 length,glam_f32x1,16,16,elements,15819578.0,ns,486640
wide vector3 length,glam_f32x1,16,16,elements,16830087.0,ns,517055
wide vector3 length,glam_f32x1,16,16,elements,17822619.0,ns,547470
wide vector3 length,glam_f32x1,16,16,elements,18807522.0,ns,577885
wide vector3 length,glam_f32x1,16,16,elements,19916483.0,ns,608300
wide vector3 length,glam_f32x1,16,16,elements,20780733.0,ns,638715
wide vector3 length,glam_f32x1,16,16,elements,21749279.0,ns,669130
wide vector3 length,glam_f32x1,16,16,elements,22813146.0,ns,699545
wide vector3 length,glam_f32x1,16,16,elements,23769182.0,ns,729960
wide vector3 length,glam_f32x1,16,16,elements,24744280.0,ns,760375
wide vector3 length,glam_f32x1,16,16,elements,25769095.0,ns,790790
wide vector3 length,glam_f32x1,16,16,elements,26713745.0,ns,821205
wide vector3 length,glam_f32x1,16,16,elements,27723128.0,ns,851620
wide vector3 length,glam_f32x1,16,16,elements,28710496.0,ns,882035
wide vector3 length,glam_f32x1,16,16,elements,29658921.0,ns,912450
wide vector3 length,glam_f32x1,16,16,elements,30694762.0,ns,942865
wide vector3 length,glam_f32x1,16,16,elements,31678999.0,ns,973280
wide vector3 length,glam_f32x1,16,16,elements,32763813.0,ns,1003695
wide vector3 length,glam_f32x1,16,16,elements,33720654.0,ns,1034110
wide vector3 length,glam_f32x1,16,16,elements,34786396.0,ns,1064525
wide vector3 length,glam_f32x1,16,16,elements,35624246.0,ns,1094940
wide vector3 length,glam_f32x1,16,16,elements,36668228.0,ns,1125355
wide vector3 length,glam_f32x1,16,16,elements,37615926.0,ns,1155770
wide vector3 length,glam_f32x1,16,16,elements,38625862.0,ns,1186185
wide vector3 length,glam_f32x1,16,16,elements,39592520.0,ns,1216600
wide vector3 length,glam_f32x1,16,16,elements,40580560.0,ns,1247015
wide vector3 length,glam_f32x1,16,16,elements,41592878.0,ns,1277430
wide vector3 length,glam_f32x1,16,16,elements,42560324.0,ns,1307845
wide vector3 length,glam_f32x1,16,16,elements,43567999.0,ns,1338260
wide vector3 length,glam_f32x1,16,16,elements,44537250.0,ns,1368675
wide vector3 length,glam_f32x1,16,16,elements,45626069.0,ns,1399090
wide vector3 length,glam_f32x1,16,16,elements,46577225.0,ns,1429505
wide vector3 length,glam_f32x1,16,16,elements,47533634.0,ns,1459920
wide vector3 length,glam_f32x1,16,16,elements,48492097.0,ns,1490335
wide vector3 length,glam_f32x1,16,16,elements,49528280.0,ns,1520750
wide vector3 length,glam_f32x1,16,16,elements,50518721.0,ns,1551165
wide vector3 length,glam_f32x1,16,16,elements,51458107.0,ns,1581580
wide vector3 length,glam_f32x1,16,16,elements,52485190.0,ns,1611995
wide vector3 length,glam_f32x1,16,16,elements,53464493.0,ns,1642410
wide vector3 length,glam_f32x1,16,16,elements,54448545.0,ns,1672825
wide vector3 length,glam_f32x1,16,16,elements,55455185.0,ns,1703240
wide vector3 length,glam_f32x1,16,16,elements,60018624.0,ns,1733655
wide vector3 length,glam_f32x1,16,16,elements,57654392.0,ns,1764070
wide vector3 length,glam_f32x1,16,16,elements,58487010.0,ns,1794485
