group,function,value,sample_time_nanos,iteration_count
euler 2d,cgmath,,992570.0,110
euler 2d,cgmath,,1977466.0,220
euler 2d,cgmath,,2959872.0,330
euler 2d,cgmath,,3917942.0,440
euler 2d,cgmath,,5175015.0,550
euler 2d,cgmath,,5900437.0,660
euler 2d,cgmath,,7075439.0,770
euler 2d,cgmath,,8107030.0,880
euler 2d,cgmath,,9498021.0,990
euler 2d,cgmath,,10194622.0,1100
euler 2d,cgmath,,11265021.0,1210
euler 2d,cgmath,,12091310.0,1320
euler 2d,cgmath,,12854154.0,1430
euler 2d,cgmath,,13844702.0,1540
euler 2d,cgmath,,14866098.0,1650
euler 2d,cgmath,,15696569.0,1760
euler 2d,cgmath,,16719379.0,1870
euler 2d,cgmath,,17718123.0,1980
euler 2d,cgmath,,18679911.0,2090
euler 2d,cgmath,,19702886.0,2200
euler 2d,cgmath,,20838714.0,2310
euler 2d,cgmath,,21597755.0,2420
euler 2d,cgmath,,22659665.0,2530
euler 2d,cgmath,,23910340.0,2640
euler 2d,cgmath,,24603798.0,2750
euler 2d,cgmath,,25602673.0,2860
euler 2d,cgmath,,26640575.0,2970
euler 2d,cgmath,,27632154.0,3080
euler 2d,cgmath,,28605896.0,3190
euler 2d,cgmath,,29780282.0,3300
euler 2d,cgmath,,31145128.0,3410
euler 2d,cgmath,,32567532.0,3520
euler 2d,cgmath,,34178030.0,3630
euler 2d,cgmath,,34320645.0,3740
euler 2d,cgmath,,34671542.0,3850
euler 2d,cgmath,,35660492.0,3960
euler 2d,cgmath,,36625901.0,4070
euler 2d,cgmath,,37533239.0,4180
euler 2d,cgmath,,38693345.0,4290
euler 2d,cgmath,,39504501.0,4400
euler 2d,cgmath,,40553478.0,4510
euler 2d,cgmath,,41498250.0,4620
euler 2d,cgmath,,42792224.0,4730
euler 2d,cgmath,,43445741.0,4840
euler 2d,cgmath,,44434820.0,4950
euler 2d,cgmath,,46564121.0,5060
euler 2d,cgmath,,46244134.0,5170
euler 2d,cgmath,,47240017.0,5280
euler 2d,cgmath,,48263219.0,5390
euler 2d,cgmath,,49560377.0,5500
euler 2d,cgmath,,50276849.0,5610
euler 2d,cgmath,,51250029.0,5720
euler 2d,cgmath,,52802493.0,5830
euler 2d,cgmath,,53903960.0,5940
euler 2d,cgmath,,56345195.0,6050
euler 2d,cgmath,,58710024.0,6160
euler 2d,cgmath,,57373087.0,6270
euler 2d,cgmath,,57189337.0,6380
euler 2d,cgmath,,58946543.0,6490
euler 2d,cgmath,,59037112.0,6600
euler 2d,cgmath,,59896883.0,6710
euler 2d,cgmath,,61297841.0,6820
euler 2d,cgmath,,62002349.0,6930
euler 2d,cgmath,,64528177.0,7040
euler 2d,cgmath,,63921427.0,7150
euler 2d,cgmath,,65261180.0,7260
euler 2d,cgmath,,66250381.0,7370
euler 2d,cgmath,,67479529.0,7480
euler 2d,cgmath,,68575445.0,7590
euler 2d,cgmath,,69970053.0,7700
euler 2d,cgmath,,73378714.0,7810
euler 2d,cgmath,,72793848.0,7920
euler 2d,cgmath,,72338272.0,8030
euler 2d,cgmath,,73321237.0,8140
euler 2d,cgmath,,74895910.0,8250
euler 2d,cgmath,,75378784.0,8360
euler 2d,cgmath,,78456026.0,8470
euler 2d,cgmath,,79243811.0,8580
euler 2d,cgmath,,77987772.0,8690
euler 2d,cgmath,,79186800.0,8800
euler 2d,cgmath,,79868708.0,8910
euler 2d,cgmath,,80841878.0,9020
euler 2d,cgmath,,82395006.0,9130
euler 2d,cgmath,,86421191.0,9240
euler 2d,cgmath,,87323541.0,9350
euler 2d,cgmath,,85401375.0,9460
euler 2d,cgmath,,86311134.0,9570
euler 2d,cgmath,,86874791.0,9680
euler 2d,cgmath,,88570083.0,9790
euler 2d,cgmath,,91158605.0,9900
euler 2d,cgmath,,90091645.0,10010
euler 2d,cgmath,,91131110.0,10120
euler 2d,cgmath,,91638582.0,10230
euler 2d,cgmath,,92653864.0,10340
euler 2d,cgmath,,96394693.0,10450
euler 2d,cgmath,,96481992.0,10560
euler 2d,cgmath,,96009148.0,10670
euler 2d,cgmath,,96848285.0,10780
euler 2d,cgmath,,97571031.0,10890
euler 2d,cgmath,,98825793.0,11000
