group,function,value,sample_time_nanos,iteration_count
euler 3d,nalgebra,,1181054.0,6
euler 3d,nalgebra,,2337083.0,12
euler 3d,nalgebra,,3527527.0,18
euler 3d,nalgebra,,4923308.0,24
euler 3d,nalgebra,,5914002.0,30
euler 3d,nalgebra,,7016389.0,36
euler 3d,nalgebra,,8717655.0,42
euler 3d,nalgebra,,9617659.0,48
euler 3d,nalgebra,,10563562.0,54
euler 3d,nalgebra,,11731952.0,60
euler 3d,nalgebra,,12860264.0,66
euler 3d,nalgebra,,14072344.0,72
euler 3d,nalgebra,,15257423.0,78
euler 3d,nalgebra,,16414978.0,84
euler 3d,nalgebra,,17549811.0,90
euler 3d,nalgebra,,18747028.0,96
euler 3d,nalgebra,,19895279.0,102
euler 3d,nalgebra,,21229692.0,108
euler 3d,nalgebra,,22439122.0,114
euler 3d,nalgebra,,23423353.0,120
euler 3d,nalgebra,,24594878.0,126
euler 3d,nalgebra,,25833233.0,132
euler 3d,nalgebra,,27302205.0,138
euler 3d,nalgebra,,28212139.0,144
euler 3d,nalgebra,,29278321.0,150
euler 3d,nalgebra,,30490006.0,156
euler 3d,nalgebra,,31709621.0,162
euler 3d,nalgebra,,32779360.0,168
euler 3d,nalgebra,,33988756.0,174
euler 3d,nalgebra,,35134934.0,180
euler 3d,nalgebra,,36325395.0,186
euler 3d,nalgebra,,37478187.0,192
euler 3d,nalgebra,,38664176.0,198
euler 3d,nalgebra,,39892840.0,204
euler 3d,nalgebra,,41002378.0,210
euler 3d,nalgebra,,42154650.0,216
euler 3d,nalgebra,,43400067.0,222
euler 3d,nalgebra,,44512882.0,228
euler 3d,nalgebra,,45673634.0,234
euler 3d,nalgebra,,47311263.0,240
euler 3d,nalgebra,,48218768.0,246
euler 3d,nalgebra,,49424514.0,252
euler 3d,nalgebra,,50470337.0,258
euler 3d,nalgebra,,51524435.0,264
euler 3d,nalgebra,,52720243.0,270
euler 3d,nalgebra,,54467021.0,276
euler 3d,nalgebra,,55900598.0,282
euler 3d,nalgebra,,57074801.0,288
euler 3d,nalgebra,,58360340.0,294
euler 3d,nalgebra,,59424148.0,300
euler 3d,nalgebra,,60474312.0,306
euler 3d,nalgebra,,61220725.0,312
euler 3d,nalgebra,,62048620.0,318
euler 3d,nalgebra,,63230954.0,324
euler 3d,nalgebra,,64649897.0,330
euler 3d,nalgebra,,65630092.0,336
euler 3d,nalgebra,,66726931.0,342
euler 3d,nalgebra,,67980463.0,348
euler 3d,nalgebra,,69180787.0,354
euler 3d,nalgebra,,70747722.0,360
euler 3d,nalgebra,,71414989.0,366
euler 3d,nalgebra,,73491718.0,372
euler 3d,nalgebra,,75127247.0,378
euler 3d,nalgebra,,76199117.0,384
euler 3d,nalgebra,,76961295.0,390
euler 3d,nalgebra,,77461383.0,396
euler 3d,nalgebra,,78528180.0,402
euler 3d,nalgebra,,79983651.0,408
euler 3d,nalgebra,,80873523.0,414
euler 3d,nalgebra,,81980350.0,420
euler 3d,nalgebra,,83149533.0,426
euler 3d,nalgebra,,84430234.0,432
euler 3d,nalgebra,,85466599.0,438
euler 3d,nalgebra,,86709695.0,444
euler 3d,nalgebra,,88707641.0,450
euler 3d,nalgebra,,89266652.0,456
euler 3d,nalgebra,,90159238.0,462
euler 3d,nalgebra,,91361587.0,468
euler 3d,nalgebra,,92488889.0,474
euler 3d,nalgebra,,93711425.0,480
euler 3d,nalgebra,,95069640.0,486
euler 3d,nalgebra,,97399392.0,492
euler 3d,nalgebra,,97402647.0,498
euler 3d,nalgebra,,98453798.0,504
euler 3d,nalgebra,,100062598.0,510
euler 3d,nalgebra,,100788871.0,516
euler 3d,nalgebra,,101971941.0,522
euler 3d,nalgebra,,103437748.0,528
euler 3d,nalgebra,,104195755.0,534
euler 3d,nalgebra,,105366143.0,540
euler 3d,nalgebra,,106574978.0,546
euler 3d,nalgebra,,107885553.0,552
euler 3d,nalgebra,,109472334.0,558
euler 3d,nalgebra,,110108420.0,564
euler 3d,nalgebra,,112339484.0,570
euler 3d,nalgebra,,114196755.0,576
euler 3d,nalgebra,,115305455.0,582
euler 3d,nalgebra,,116519149.0,588
euler 3d,nalgebra,,116784999.0,594
euler 3d,nalgebra,,117062345.0,600
