group,function,value,sample_time_nanos,iteration_count
mat2 determinant,cgmath,,990529.0,939160
mat2 determinant,cgmath,,1975155.0,1878320
mat2 determinant,cgmath,,2996004.0,2817480
mat2 determinant,cgmath,,4092322.0,3756640
mat2 determinant,cgmath,,5089464.0,4695800
mat2 determinant,cgmath,,5941915.0,5634960
mat2 determinant,cgmath,,7184462.0,6574120
mat2 determinant,cgmath,,7944474.0,7513280
mat2 determinant,cgmath,,8922724.0,8452440
mat2 determinant,cgmath,,9904979.0,9391600
mat2 determinant,cgmath,,10846437.0,10330760
mat2 determinant,cgmath,,11841889.0,11269920
mat2 determinant,cgmath,,12861400.0,12209080
mat2 determinant,cgmath,,13869337.0,13148240
mat2 determinant,cgmath,,14830671.0,14087400
mat2 determinant,cgmath,,15831867.0,15026560
mat2 determinant,cgmath,,16807037.0,15965720
mat2 determinant,cgmath,,17774233.0,16904880
mat2 determinant,cgmath,,18767118.0,17844040
mat2 determinant,cgmath,,19798216.0,18783200
mat2 determinant,cgmath,,20746940.0,19722360
mat2 determinant,cgmath,,21700075.0,20661520
mat2 determinant,cgmath,,22743124.0,21600680
mat2 determinant,cgmath,,24011882.0,22539840
mat2 determinant,cgmath,,24812462.0,23479000
mat2 determinant,cgmath,,25699701.0,24418160
mat2 determinant,cgmath,,26679258.0,25357320
mat2 determinant,cgmath,,27632199.0,26296480
mat2 determinant,cgmath,,28668333.0,27235640
mat2 determinant,cgmath,,29681529.0,28174800
mat2 determinant,cgmath,,30762469.0,29113960
mat2 determinant,cgmath,,31683932.0,30053120
mat2 determinant,cgmath,,32603997.0,30992280
mat2 determinant,cgmath,,33541943.0,31931440
mat2 determinant,cgmath,,34620598.0,32870600
mat2 determinant,cgmath,,35598942.0,33809760
mat2 determinant,cgmath,,36546580.0,34748920
mat2 determinant,cgmath,,37565346.0,35688080
mat2 determinant,cgmath,,38492196.0,36627240
mat2 determinant,cgmath,,39523945.0,37566400
mat2 determinant,cgmath,,40534320.0,38505560
mat2 determinant,cgmath,,41854684.0,39444720
mat2 determinant,cgmath,,42529115.0,40383880
mat2 determinant,cgmath,,43435315.0,41323040
mat2 determinant,cgmath,,44525999.0,42262200
mat2 determinant,cgmath,,45436090.0,43201360
mat2 determinant,cgmath,,46390534.0,44140520
mat2 determinant,cgmath,,47492117.0,45079680
mat2 determinant,cgmath,,48527107.0,46018840
mat2 determinant,cgmath,,49426884.0,46958000
mat2 determinant,cgmath,,50562365.0,47897160
mat2 determinant,cgmath,,51314563.0,48836320
mat2 determinant,cgmath,,52411176.0,49775480
mat2 determinant,cgmath,,53365030.0,50714640
mat2 determinant,cgmath,,54842479.0,51653800
mat2 determinant,cgmath,,55299836.0,52592960
mat2 determinant,cgmath,,56360880.0,53532120
mat2 determinant,cgmath,,57275169.0,54471280
mat2 determinant,cgmath,,58392571.0,55410440
mat2 determinant,cgmath,,59212949.0,56349600
mat2 determinant,cgmath,,60232922.0,57288760
mat2 determinant,cgmath,,61277286.0,58227920
mat2 determinant,cgmath,,62193496.0,59167080
mat2 determinant,cgmath,,63256685.0,60106240
mat2 determinant,cgmath,,64704875.0,61045400
mat2 determinant,cgmath,,65121851.0,61984560
mat2 determinant,cgmath,,66212029.0,62923720
mat2 determinant,cgmath,,67169826.0,63862880
mat2 determinant,cgmath,,68177533.0,64802040
mat2 determinant,cgmath,,70132493.0,65741200
mat2 determinant,cgmath,,70279122.0,66680360
mat2 determinant,cgmath,,71216977.0,67619520
mat2 determinant,cgmath,,72185437.0,68558680
mat2 determinant,cgmath,,73462478.0,69497840
mat2 determinant,cgmath,,74078926.0,70437000
mat2 determinant,cgmath,,75096351.0,71376160
mat2 determinant,cgmath,,76094797.0,72315320
mat2 determinant,cgmath,,77102523.0,73254480
mat2 determinant,cgmath,,78057251.0,74193640
mat2 determinant,cgmath,,79077992.0,75132800
mat2 determinant,cgmath,,80227412.0,76071960
mat2 determinant,cgmath,,81149979.0,77011120
mat2 determinant,cgmath,,82046752.0,77950280
mat2 determinant,cgmath,,83155387.0,78889440
mat2 determinant,cgmath,,83912439.0,79828600
mat2 determinant,cgmath,,85208424.0,80767760
mat2 determinant,cgmath,,85891088.0,81706920
mat2 determinant,cgmath,,87012426.0,82646080
mat2 determinant,cgmath,,88271608.0,83585240
mat2 determinant,cgmath,,89023888.0,84524400
mat2 determinant,cgmath,,89957129.0,85463560
mat2 determinant,cgmath,,90852960.0,86402720
mat2 determinant,cgmath,,92276281.0,87341880
mat2 determinant,cgmath,,92817370.0,88281040
mat2 determinant,cgmath,,94449481.0,89220200
mat2 determinant,cgmath,,94832798.0,90159360
mat2 determinant,cgmath,,95882687.0,91098520
mat2 determinant,cgmath,,96684793.0,92037680
mat2 determinant,cgmath,,97851551.0,92976840
mat2 determinant,cgmath,,98767444.0,93916000
