group,function,value,sample_time_nanos,iteration_count
mat2 determinant,glam,,984636.0,751210
mat2 determinant,glam,,1971207.0,1502420
mat2 determinant,glam,,2954578.0,2253630
mat2 determinant,glam,,3957208.0,3004840
mat2 determinant,glam,,5140788.0,3756050
mat2 determinant,glam,,5925136.0,4507260
mat2 determinant,glam,,7116179.0,5258470
mat2 determinant,glam,,8029420.0,6009680
mat2 determinant,glam,,8940130.0,6760890
mat2 determinant,glam,,9888841.0,7512100
mat2 determinant,glam,,10852770.0,8263310
mat2 determinant,glam,,11897193.0,9014520
mat2 determinant,glam,,12821467.0,9765730
mat2 determinant,glam,,13805792.0,10516940
mat2 determinant,glam,,14816935.0,11268150
mat2 determinant,glam,,15774225.0,12019360
mat2 determinant,glam,,16822068.0,12770570
mat2 determinant,glam,,17749104.0,13521780
mat2 determinant,glam,,18805591.0,14272990
mat2 determinant,glam,,19739975.0,15024200
mat2 determinant,glam,,20700535.0,15775410
mat2 determinant,glam,,21726006.0,16526620
mat2 determinant,glam,,23063003.0,17277830
mat2 determinant,glam,,23713777.0,18029040
mat2 determinant,glam,,24680276.0,18780250
mat2 determinant,glam,,25619658.0,19531460
mat2 determinant,glam,,26699315.0,20282670
mat2 determinant,glam,,27621254.0,21033880
mat2 determinant,glam,,28567441.0,21785090
mat2 determinant,glam,,29646311.0,22536300
mat2 determinant,glam,,30638966.0,23287510
mat2 determinant,glam,,31758541.0,24038720
mat2 determinant,glam,,32639684.0,24789930
mat2 determinant,glam,,33605344.0,25541140
mat2 determinant,glam,,34534301.0,26292350
mat2 determinant,glam,,35533340.0,27043560
mat2 determinant,glam,,36570862.0,27794770
mat2 determinant,glam,,37499458.0,28545980
mat2 determinant,glam,,38789261.0,29297190
mat2 determinant,glam,,39419408.0,30048400
mat2 determinant,glam,,40446030.0,30799610
mat2 determinant,glam,,41865783.0,31550820
mat2 determinant,glam,,42418726.0,32302030
mat2 determinant,glam,,43466258.0,33053240
mat2 determinant,glam,,44410050.0,33804450
mat2 determinant,glam,,45429067.0,34555660
mat2 determinant,glam,,46440974.0,35306870
mat2 determinant,glam,,47326008.0,36058080
mat2 determinant,glam,,48384185.0,36809290
mat2 determinant,glam,,49318099.0,37560500
mat2 determinant,glam,,50529269.0,38311710
mat2 determinant,glam,,51395605.0,39062920
mat2 determinant,glam,,52335305.0,39814130
mat2 determinant,glam,,53692757.0,40565340
mat2 determinant,glam,,54286788.0,41316550
mat2 determinant,glam,,55364852.0,42067760
mat2 determinant,glam,,56239773.0,42818970
mat2 determinant,glam,,57350225.0,43570180
mat2 determinant,glam,,58229012.0,44321390
mat2 determinant,glam,,59219495.0,45072600
mat2 determinant,glam,,60230332.0,45823810
mat2 determinant,glam,,61158419.0,46575020
mat2 determinant,glam,,62228496.0,47326230
mat2 determinant,glam,,63523501.0,48077440
mat2 determinant,glam,,64464747.0,48828650
mat2 determinant,glam,,65180000.0,49579860
mat2 determinant,glam,,66089437.0,50331070
mat2 determinant,glam,,67202629.0,51082280
mat2 determinant,glam,,68118602.0,51833490
mat2 determinant,glam,,69048988.0,52584700
mat2 determinant,glam,,70179499.0,53335910
mat2 determinant,glam,,71161408.0,54087120
mat2 determinant,glam,,72536913.0,54838330
mat2 determinant,glam,,72981242.0,55589540
mat2 determinant,glam,,74172542.0,56340750
mat2 determinant,glam,,75049163.0,57091960
mat2 determinant,glam,,76223078.0,57843170
mat2 determinant,glam,,76965818.0,58594380
mat2 determinant,glam,,78022616.0,59345590
mat2 determinant,glam,,78937313.0,60096800
mat2 determinant,glam,,80315216.0,60848010
mat2 determinant,glam,,80924421.0,61599220
mat2 determinant,glam,,81899101.0,62350430
mat2 determinant,glam,,82981088.0,63101640
mat2 determinant,glam,,83972461.0,63852850
mat2 determinant,glam,,84872259.0,64604060
mat2 determinant,glam,,86159572.0,65355270
mat2 determinant,glam,,87438441.0,66106480
mat2 determinant,glam,,87769687.0,66857690
mat2 determinant,glam,,88835569.0,67608900
mat2 determinant,glam,,89879138.0,68360110
mat2 determinant,glam,,90769762.0,69111320
mat2 determinant,glam,,91828395.0,69862530
mat2 determinant,glam,,92764492.0,70613740
mat2 determinant,glam,,93934435.0,71364950
mat2 determinant,glam,,94910922.0,72116160
mat2 determinant,glam,,95752941.0,72867370
mat2 determinant,glam,,96965774.0,73618580
mat2 determinant,glam,,97692006.0,74369790
mat2 determinant,glam,,98674631.0,75121000
