group,function,value,sample_time_nanos,iteration_count
mat2 determinant,nalgebra,,1043960.0,923840
mat2 determinant,nalgebra,,1975559.0,1847680
mat2 determinant,nalgebra,,2965496.0,2771520
mat2 determinant,nalgebra,,3927145.0,3695360
mat2 determinant,nalgebra,,5170203.0,4619200
mat2 determinant,nalgebra,,5980370.0,5543040
mat2 determinant,nalgebra,,6960191.0,6466880
mat2 determinant,nalgebra,,8073515.0,7390720
mat2 determinant,nalgebra,,8954709.0,8314560
mat2 determinant,nalgebra,,10109566.0,9238400
mat2 determinant,nalgebra,,10680441.0,10162240
mat2 determinant,nalgebra,,11636698.0,11086080
mat2 determinant,nalgebra,,12652342.0,12009920
mat2 determinant,nalgebra,,13638108.0,12933760
mat2 determinant,nalgebra,,14603573.0,13857600
mat2 determinant,nalgebra,,15698563.0,14781440
mat2 determinant,nalgebra,,17822615.0,15705280
mat2 determinant,nalgebra,,18148793.0,16629120
mat2 determinant,nalgebra,,18706564.0,17552960
mat2 determinant,nalgebra,,19494588.0,18476800
mat2 determinant,nalgebra,,20461726.0,19400640
mat2 determinant,nalgebra,,21389984.0,20324480
mat2 determinant,nalgebra,,22381877.0,21248320
mat2 determinant,nalgebra,,23354614.0,22172160
mat2 determinant,nalgebra,,24386818.0,23096000
mat2 determinant,nalgebra,,25343724.0,24019840
mat2 determinant,nalgebra,,26440480.0,24943680
mat2 determinant,nalgebra,,27213338.0,25867520
mat2 determinant,nalgebra,,28604506.0,26791360
mat2 determinant,nalgebra,,29429939.0,27715200
mat2 determinant,nalgebra,,30229056.0,28639040
mat2 determinant,nalgebra,,31330656.0,29562880
mat2 determinant,nalgebra,,32120360.0,30486720
mat2 determinant,nalgebra,,33078605.0,31410560
mat2 determinant,nalgebra,,34049416.0,32334400
mat2 determinant,nalgebra,,34983948.0,33258240
mat2 determinant,nalgebra,,35990178.0,34182080
mat2 determinant,nalgebra,,39253731.0,35105920
mat2 determinant,nalgebra,,38075729.0,36029760
mat2 determinant,nalgebra,,39090217.0,36953600
mat2 determinant,nalgebra,,39893672.0,37877440
mat2 determinant,nalgebra,,40883644.0,38801280
mat2 determinant,nalgebra,,41981910.0,39725120
mat2 determinant,nalgebra,,42796842.0,40648960
mat2 determinant,nalgebra,,43890713.0,41572800
mat2 determinant,nalgebra,,44938636.0,42496640
mat2 determinant,nalgebra,,45820258.0,43420480
mat2 determinant,nalgebra,,46652064.0,44344320
mat2 determinant,nalgebra,,47682842.0,45268160
mat2 determinant,nalgebra,,48714947.0,46192000
mat2 determinant,nalgebra,,49670719.0,47115840
mat2 determinant,nalgebra,,50940550.0,48039680
mat2 determinant,nalgebra,,52053769.0,48963520
mat2 determinant,nalgebra,,52688952.0,49887360
mat2 determinant,nalgebra,,53902820.0,50811200
mat2 determinant,nalgebra,,54456113.0,51735040
mat2 determinant,nalgebra,,55646302.0,52658880
mat2 determinant,nalgebra,,57555724.0,53582720
mat2 determinant,nalgebra,,59560092.0,54506560
mat2 determinant,nalgebra,,58460085.0,55430400
mat2 determinant,nalgebra,,59452916.0,56354240
mat2 determinant,nalgebra,,60938019.0,57278080
mat2 determinant,nalgebra,,61600505.0,58201920
mat2 determinant,nalgebra,,62593099.0,59125760
mat2 determinant,nalgebra,,64318208.0,60049600
mat2 determinant,nalgebra,,64541178.0,60973440
mat2 determinant,nalgebra,,65387478.0,61897280
mat2 determinant,nalgebra,,67134303.0,62821120
mat2 determinant,nalgebra,,67631940.0,63744960
mat2 determinant,nalgebra,,68483244.0,64668800
mat2 determinant,nalgebra,,70291490.0,65592640
mat2 determinant,nalgebra,,70522299.0,66516480
mat2 determinant,nalgebra,,71003654.0,67440320
mat2 determinant,nalgebra,,74191720.0,68364160
mat2 determinant,nalgebra,,75081832.0,69288000
mat2 determinant,nalgebra,,73985884.0,70211840
mat2 determinant,nalgebra,,75442491.0,71135680
mat2 determinant,nalgebra,,76169007.0,72059520
mat2 determinant,nalgebra,,77660373.0,72983360
mat2 determinant,nalgebra,,79147753.0,73907200
mat2 determinant,nalgebra,,79098418.0,74831040
mat2 determinant,nalgebra,,79766158.0,75754880
mat2 determinant,nalgebra,,81397367.0,76678720
mat2 determinant,nalgebra,,82126650.0,77602560
mat2 determinant,nalgebra,,83285249.0,78526400
mat2 determinant,nalgebra,,84132713.0,79450240
mat2 determinant,nalgebra,,87772503.0,80374080
mat2 determinant,nalgebra,,86527881.0,81297920
mat2 determinant,nalgebra,,86680268.0,82221760
mat2 determinant,nalgebra,,87630216.0,83145600
mat2 determinant,nalgebra,,88831518.0,84069440
mat2 determinant,nalgebra,,89665371.0,84993280
mat2 determinant,nalgebra,,90427565.0,85917120
mat2 determinant,nalgebra,,92623105.0,86840960
mat2 determinant,nalgebra,,92937688.0,87764800
mat2 determinant,nalgebra,,93403884.0,88688640
mat2 determinant,nalgebra,,94453249.0,89612480
mat2 determinant,nalgebra,,99644363.0,90536320
mat2 determinant,nalgebra,,100150378.0,91460160
mat2 determinant,nalgebra,,99855279.0,92384000
