group,function,value,sample_time_nanos,iteration_count
mat2 inverse (*see notes),nalgebra,,978409.0,250998
mat2 inverse (*see notes),nalgebra,,1946485.0,501996
mat2 inverse (*see notes),nalgebra,,2976672.0,752994
mat2 inverse (*see notes),nalgebra,,4078399.0,1003992
mat2 inverse (*see notes),nalgebra,,5741023.0,1254990
mat2 inverse (*see notes),nalgebra,,5966832.0,1505988
mat2 inverse (*see notes),nalgebra,,6849733.0,1756986
mat2 inverse (*see notes),nalgebra,,8577692.0,2007984
mat2 inverse (*see notes),nalgebra,,8937447.0,2258982
mat2 inverse (*see notes),nalgebra,,10115103.0,2509980
mat2 inverse (*see notes),nalgebra,,10850473.0,2760978
mat2 inverse (*see notes),nalgebra,,11811828.0,3011976
mat2 inverse (*see notes),nalgebra,,12826526.0,3262974
mat2 inverse (*see notes),nalgebra,,13730311.0,3513972
mat2 inverse (*see notes),nalgebra,,14658937.0,3764970
mat2 inverse (*see notes),nalgebra,,15589823.0,4015968
mat2 inverse (*see notes),nalgebra,,16763741.0,4266966
mat2 inverse (*see notes),nalgebra,,17723119.0,4517964
mat2 inverse (*see notes),nalgebra,,18729817.0,4768962
mat2 inverse (*see notes),nalgebra,,19848008.0,5019960
mat2 inverse (*see notes),nalgebra,,21715985.0,5270958
mat2 inverse (*see notes),nalgebra,,22327930.0,5521956
mat2 inverse (*see notes),nalgebra,,23163707.0,5772954
mat2 inverse (*see notes),nalgebra,,24479994.0,6023952
mat2 inverse (*see notes),nalgebra,,25245452.0,6274950
mat2 inverse (*see notes),nalgebra,,26282539.0,6525948
mat2 inverse (*see notes),nalgebra,,26726870.0,6776946
mat2 inverse (*see notes),nalgebra,,27775637.0,7027944
mat2 inverse (*see notes),nalgebra,,28670842.0,7278942
mat2 inverse (*see notes),nalgebra,,29463341.0,7529940
mat2 inverse (*see notes),nalgebra,,31055068.0,7780938
mat2 inverse (*see notes),nalgebra,,31493681.0,8031936
mat2 inverse (*see notes),nalgebra,,32438892.0,8282934
mat2 inverse (*see notes),nalgebra,,33417633.0,8533932
mat2 inverse (*see notes),nalgebra,,34326089.0,8784930
mat2 inverse (*see notes),nalgebra,,35121370.0,9035928
mat2 inverse (*see notes),nalgebra,,36485846.0,9286926
mat2 inverse (*see notes),nalgebra,,37133335.0,9537924
mat2 inverse (*see notes),nalgebra,,38184707.0,9788922
mat2 inverse (*see notes),nalgebra,,39235717.0,10039920
mat2 inverse (*see notes),nalgebra,,40248933.0,10290918
mat2 inverse (*see notes),nalgebra,,41564025.0,10541916
mat2 inverse (*see notes),nalgebra,,41967253.0,10792914
mat2 inverse (*see notes),nalgebra,,43065249.0,11043912
mat2 inverse (*see notes),nalgebra,,44072450.0,11294910
mat2 inverse (*see notes),nalgebra,,45166097.0,11545908
mat2 inverse (*see notes),nalgebra,,46543345.0,11796906
mat2 inverse (*see notes),nalgebra,,46929194.0,12047904
mat2 inverse (*see notes),nalgebra,,48542255.0,12298902
mat2 inverse (*see notes),nalgebra,,51594931.0,12549900
mat2 inverse (*see notes),nalgebra,,51943709.0,12800898
mat2 inverse (*see notes),nalgebra,,51891423.0,13051896
mat2 inverse (*see notes),nalgebra,,52010357.0,13302894
mat2 inverse (*see notes),nalgebra,,52668205.0,13553892
mat2 inverse (*see notes),nalgebra,,53902531.0,13804890
mat2 inverse (*see notes),nalgebra,,54884537.0,14055888
mat2 inverse (*see notes),nalgebra,,55811157.0,14306886
mat2 inverse (*see notes),nalgebra,,57351216.0,14557884
mat2 inverse (*see notes),nalgebra,,57729966.0,14808882
mat2 inverse (*see notes),nalgebra,,58936455.0,15059880
mat2 inverse (*see notes),nalgebra,,60151492.0,15310878
mat2 inverse (*see notes),nalgebra,,61226832.0,15561876
mat2 inverse (*see notes),nalgebra,,62542121.0,15812874
mat2 inverse (*see notes),nalgebra,,63477776.0,16063872
mat2 inverse (*see notes),nalgebra,,64520305.0,16314870
mat2 inverse (*see notes),nalgebra,,65424782.0,16565868
mat2 inverse (*see notes),nalgebra,,67814043.0,16816866
mat2 inverse (*see notes),nalgebra,,67708182.0,17067864
mat2 inverse (*see notes),nalgebra,,67634959.0,17318862
mat2 inverse (*see notes),nalgebra,,68433717.0,17569860
mat2 inverse (*see notes),nalgebra,,69556950.0,17820858
mat2 inverse (*see notes),nalgebra,,70405744.0,18071856
mat2 inverse (*see notes),nalgebra,,71942254.0,18322854
mat2 inverse (*see notes),nalgebra,,72992379.0,18573852
mat2 inverse (*see notes),nalgebra,,73989074.0,18824850
mat2 inverse (*see notes),nalgebra,,75742425.0,19075848
mat2 inverse (*see notes),nalgebra,,76135088.0,19326846
mat2 inverse (*see notes),nalgebra,,76818213.0,19577844
mat2 inverse (*see notes),nalgebra,,79435057.0,19828842
mat2 inverse (*see notes),nalgebra,,80595124.0,20079840
mat2 inverse (*see notes),nalgebra,,80665072.0,20330838
mat2 inverse (*see notes),nalgebra,,80236943.0,20581836
mat2 inverse (*see notes),nalgebra,,81218423.0,20832834
mat2 inverse (*see notes),nalgebra,,82871724.0,21083832
mat2 inverse (*see notes),nalgebra,,83271341.0,21334830
mat2 inverse (*see notes),nalgebra,,85586446.0,21585828
mat2 inverse (*see notes),nalgebra,,85678492.0,21836826
mat2 inverse (*see notes),nalgebra,,86681306.0,22087824
mat2 inverse (*see notes),nalgebra,,87722566.0,22338822
mat2 inverse (*see notes),nalgebra,,88794761.0,22589820
mat2 inverse (*see notes),nalgebra,,89930849.0,22840818
mat2 inverse (*see notes),nalgebra,,91550329.0,23091816
mat2 inverse (*see notes),nalgebra,,94012222.0,23342814
mat2 inverse (*see notes),nalgebra,,93561309.0,23593812
mat2 inverse (*see notes),nalgebra,,93528314.0,23844810
mat2 inverse (*see notes),nalgebra,,94595155.0,24095808
mat2 inverse (*see notes),nalgebra,,96550516.0,24346806
mat2 inverse (*see notes),nalgebra,,96015429.0,24597804
mat2 inverse (*see notes),nalgebra,,97604677.0,24848802
mat2 inverse (*see notes),nalgebra,,98811422.0,25099800
