group,function,value,sample_time_nanos,iteration_count
mat2 inverse,cgmath,,979033.0,373394
mat2 inverse,cgmath,,2004936.0,746788
mat2 inverse,cgmath,,2982023.0,1120182
mat2 inverse,cgmath,,3969847.0,1493576
mat2 inverse,cgmath,,5094708.0,1866970
mat2 inverse,cgmath,,5901059.0,2240364
mat2 inverse,cgmath,,7285513.0,2613758
mat2 inverse,cgmath,,8066669.0,2987152
mat2 inverse,cgmath,,8958095.0,3360546
mat2 inverse,cgmath,,9861553.0,3733940
mat2 inverse,cgmath,,10859461.0,4107334
mat2 inverse,cgmath,,11833665.0,4480728
mat2 inverse,cgmath,,12807855.0,4854122
mat2 inverse,cgmath,,13996596.0,5227516
mat2 inverse,cgmath,,14746663.0,5600910
mat2 inverse,cgmath,,15938109.0,5974304
mat2 inverse,cgmath,,16780624.0,6347698
mat2 inverse,cgmath,,17680982.0,6721092
mat2 inverse,cgmath,,18706499.0,7094486
mat2 inverse,cgmath,,19739337.0,7467880
mat2 inverse,cgmath,,20683919.0,7841274
mat2 inverse,cgmath,,21676023.0,8214668
mat2 inverse,cgmath,,22939238.0,8588062
mat2 inverse,cgmath,,23634638.0,8961456
mat2 inverse,cgmath,,24731616.0,9334850
mat2 inverse,cgmath,,25553987.0,9708244
mat2 inverse,cgmath,,27009760.0,10081638
mat2 inverse,cgmath,,27779870.0,10455032
mat2 inverse,cgmath,,28614586.0,10828426
mat2 inverse,cgmath,,29593635.0,11201820
mat2 inverse,cgmath,,30425210.0,11575214
mat2 inverse,cgmath,,31548041.0,11948608
mat2 inverse,cgmath,,32451089.0,12322002
mat2 inverse,cgmath,,33490088.0,12695396
mat2 inverse,cgmath,,34499958.0,13068790
mat2 inverse,cgmath,,35371473.0,13442184
mat2 inverse,cgmath,,36432630.0,13815578
mat2 inverse,cgmath,,37457290.0,14188972
mat2 inverse,cgmath,,38383388.0,14562366
mat2 inverse,cgmath,,39458040.0,14935760
mat2 inverse,cgmath,,40391793.0,15309154
mat2 inverse,cgmath,,41254721.0,15682548
mat2 inverse,cgmath,,42543018.0,16055942
mat2 inverse,cgmath,,43731972.0,16429336
mat2 inverse,cgmath,,44532783.0,16802730
mat2 inverse,cgmath,,45504976.0,17176124
mat2 inverse,cgmath,,46296976.0,17549518
mat2 inverse,cgmath,,47148484.0,17922912
mat2 inverse,cgmath,,48339914.0,18296306
mat2 inverse,cgmath,,49499280.0,18669700
mat2 inverse,cgmath,,50357943.0,19043094
mat2 inverse,cgmath,,51179338.0,19416488
mat2 inverse,cgmath,,52335191.0,19789882
mat2 inverse,cgmath,,53120349.0,20163276
mat2 inverse,cgmath,,54211601.0,20536670
mat2 inverse,cgmath,,55652249.0,20910064
mat2 inverse,cgmath,,56241656.0,21283458
mat2 inverse,cgmath,,57020023.0,21656852
mat2 inverse,cgmath,,58292234.0,22030246
mat2 inverse,cgmath,,59041903.0,22403640
mat2 inverse,cgmath,,90169395.0,22777034
mat2 inverse,cgmath,,60904874.0,23150428
mat2 inverse,cgmath,,62234635.0,23523822
mat2 inverse,cgmath,,63320233.0,23897216
mat2 inverse,cgmath,,64170470.0,24270610
mat2 inverse,cgmath,,65568924.0,24644004
mat2 inverse,cgmath,,66007937.0,25017398
mat2 inverse,cgmath,,66995068.0,25390792
mat2 inverse,cgmath,,67963070.0,25764186
mat2 inverse,cgmath,,68886457.0,26137580
mat2 inverse,cgmath,,70196572.0,26510974
mat2 inverse,cgmath,,70804331.0,26884368
mat2 inverse,cgmath,,71876227.0,27257762
mat2 inverse,cgmath,,72797440.0,27631156
mat2 inverse,cgmath,,74397600.0,28004550
mat2 inverse,cgmath,,74870147.0,28377944
mat2 inverse,cgmath,,75738842.0,28751338
mat2 inverse,cgmath,,77577115.0,29124732
mat2 inverse,cgmath,,77821421.0,29498126
mat2 inverse,cgmath,,78865184.0,29871520
mat2 inverse,cgmath,,80124253.0,30244914
mat2 inverse,cgmath,,81441380.0,30618308
mat2 inverse,cgmath,,81876317.0,30991702
mat2 inverse,cgmath,,82704194.0,31365096
mat2 inverse,cgmath,,83639095.0,31738490
mat2 inverse,cgmath,,84687372.0,32111884
mat2 inverse,cgmath,,85707100.0,32485278
mat2 inverse,cgmath,,87035038.0,32858672
mat2 inverse,cgmath,,88252978.0,33232066
mat2 inverse,cgmath,,88688454.0,33605460
mat2 inverse,cgmath,,89683215.0,33978854
mat2 inverse,cgmath,,90862406.0,34352248
mat2 inverse,cgmath,,91861388.0,34725642
mat2 inverse,cgmath,,92715869.0,35099036
mat2 inverse,cgmath,,93464004.0,35472430
mat2 inverse,cgmath,,94491322.0,35845824
mat2 inverse,cgmath,,95513637.0,36219218
mat2 inverse,cgmath,,96384530.0,36592612
mat2 inverse,cgmath,,97625066.0,36966006
mat2 inverse,cgmath,,98603338.0,37339400
