group,function,value,sample_time_nanos,iteration_count
mat2 inverse,nalgebra,,974734.0,369955
mat2 inverse,nalgebra,,1943187.0,739910
mat2 inverse,nalgebra,,2957584.0,1109865
mat2 inverse,nalgebra,,4219318.0,1479820
mat2 inverse,nalgebra,,5760401.0,1849775
mat2 inverse,nalgebra,,5833200.0,2219730
mat2 inverse,nalgebra,,7298930.0,2589685
mat2 inverse,nalgebra,,7873666.0,2959640
mat2 inverse,nalgebra,,8749047.0,3329595
mat2 inverse,nalgebra,,9877238.0,3699550
mat2 inverse,nalgebra,,11100722.0,4069505
mat2 inverse,nalgebra,,11723229.0,4439460
mat2 inverse,nalgebra,,12634642.0,4809415
mat2 inverse,nalgebra,,14081930.0,5179370
mat2 inverse,nalgebra,,14805206.0,5549325
mat2 inverse,nalgebra,,15656461.0,5919280
mat2 inverse,nalgebra,,16525713.0,6289235
mat2 inverse,nalgebra,,17486728.0,6659190
mat2 inverse,nalgebra,,18476930.0,7029145
mat2 inverse,nalgebra,,19548290.0,7399100
mat2 inverse,nalgebra,,20540445.0,7769055
mat2 inverse,nalgebra,,21741904.0,8139010
mat2 inverse,nalgebra,,22652299.0,8508965
mat2 inverse,nalgebra,,23311961.0,8878920
mat2 inverse,nalgebra,,25027115.0,9248875
mat2 inverse,nalgebra,,25312244.0,9618830
mat2 inverse,nalgebra,,27309439.0,9988785
mat2 inverse,nalgebra,,27248754.0,10358740
mat2 inverse,nalgebra,,28235348.0,10728695
mat2 inverse,nalgebra,,29508621.0,11098650
mat2 inverse,nalgebra,,31264783.0,11468605
mat2 inverse,nalgebra,,32589333.0,11838560
mat2 inverse,nalgebra,,32080620.0,12208515
mat2 inverse,nalgebra,,33693014.0,12578470
mat2 inverse,nalgebra,,36096045.0,12948425
mat2 inverse,nalgebra,,35187216.0,13318380
mat2 inverse,nalgebra,,36280660.0,13688335
mat2 inverse,nalgebra,,37590435.0,14058290
mat2 inverse,nalgebra,,39380233.0,14428245
mat2 inverse,nalgebra,,39837273.0,14798200
mat2 inverse,nalgebra,,40418003.0,15168155
mat2 inverse,nalgebra,,41256318.0,15538110
mat2 inverse,nalgebra,,43538227.0,15908065
mat2 inverse,nalgebra,,44425367.0,16278020
mat2 inverse,nalgebra,,44692759.0,16647975
mat2 inverse,nalgebra,,45044707.0,17017930
mat2 inverse,nalgebra,,46588787.0,17387885
mat2 inverse,nalgebra,,48309292.0,17757840
mat2 inverse,nalgebra,,48814195.0,18127795
mat2 inverse,nalgebra,,50564840.0,18497750
mat2 inverse,nalgebra,,49746446.0,18867705
mat2 inverse,nalgebra,,50772637.0,19237660
mat2 inverse,nalgebra,,52878858.0,19607615
mat2 inverse,nalgebra,,52869253.0,19977570
mat2 inverse,nalgebra,,55046295.0,20347525
mat2 inverse,nalgebra,,55925331.0,20717480
mat2 inverse,nalgebra,,55976052.0,21087435
mat2 inverse,nalgebra,,56727530.0,21457390
mat2 inverse,nalgebra,,59806636.0,21827345
mat2 inverse,nalgebra,,59662567.0,22197300
mat2 inverse,nalgebra,,60307989.0,22567255
mat2 inverse,nalgebra,,60976258.0,22937210
mat2 inverse,nalgebra,,62255041.0,23307165
mat2 inverse,nalgebra,,62892433.0,23677120
mat2 inverse,nalgebra,,65403418.0,24047075
mat2 inverse,nalgebra,,65927860.0,24417030
mat2 inverse,nalgebra,,67010799.0,24786985
mat2 inverse,nalgebra,,66941579.0,25156940
mat2 inverse,nalgebra,,67579064.0,25526895
mat2 inverse,nalgebra,,69729220.0,25896850
mat2 inverse,nalgebra,,70279773.0,26266805
mat2 inverse,nalgebra,,70721341.0,26636760
mat2 inverse,nalgebra,,74283425.0,27006715
mat2 inverse,nalgebra,,74410673.0,27376670
mat2 inverse,nalgebra,,75449694.0,27746625
mat2 inverse,nalgebra,,74294279.0,28116580
mat2 inverse,nalgebra,,76720633.0,28486535
mat2 inverse,nalgebra,,76412330.0,28856490
mat2 inverse,nalgebra,,78724008.0,29226445
mat2 inverse,nalgebra,,80439016.0,29596400
mat2 inverse,nalgebra,,80620805.0,29966355
mat2 inverse,nalgebra,,81537851.0,30336310
mat2 inverse,nalgebra,,81484054.0,30706265
mat2 inverse,nalgebra,,82926006.0,31076220
mat2 inverse,nalgebra,,85735961.0,31446175
mat2 inverse,nalgebra,,87006577.0,31816130
mat2 inverse,nalgebra,,86540701.0,32186085
mat2 inverse,nalgebra,,88175406.0,32556040
mat2 inverse,nalgebra,,88456233.0,32925995
mat2 inverse,nalgebra,,88790101.0,33295950
mat2 inverse,nalgebra,,89818804.0,33665905
mat2 inverse,nalgebra,,91295844.0,34035860
mat2 inverse,nalgebra,,91901293.0,34405815
mat2 inverse,nalgebra,,94790431.0,34775770
mat2 inverse,nalgebra,,93545871.0,35145725
mat2 inverse,nalgebra,,94809099.0,35515680
mat2 inverse,nalgebra,,96758593.0,35885635
mat2 inverse,nalgebra,,98173504.0,36255590
mat2 inverse,nalgebra,,97008309.0,36625545
mat2 inverse,nalgebra,,99062990.0,36995500
