group,function,value,sample_time_nanos,iteration_count
mat2 mul mat2,glam,,7670.0,2510
mat2 mul mat2,glam,,15344.0,5020
mat2 mul mat2,glam,,22979.0,7530
mat2 mul mat2,glam,,30780.0,10040
mat2 mul mat2,glam,,38335.0,12550
mat2 mul mat2,glam,,45960.0,15060
mat2 mul mat2,glam,,53756.0,17570
mat2 mul mat2,glam,,61192.0,20080
mat2 mul mat2,glam,,68954.0,22590
mat2 mul mat2,glam,,76731.0,25100
mat2 mul mat2,glam,,84397.0,27610
mat2 mul mat2,glam,,92221.0,30120
mat2 mul mat2,glam,,99788.0,32630
mat2 mul mat2,glam,,107468.0,35140
mat2 mul mat2,glam,,115130.0,37650
mat2 mul mat2,glam,,122942.0,40160
mat2 mul mat2,glam,,130455.0,42670
mat2 mul mat2,glam,,137827.0,45180
mat2 mul mat2,glam,,145994.0,47690
mat2 mul mat2,glam,,162725.0,50200
mat2 mul mat2,glam,,225889.0,52710
mat2 mul mat2,glam,,178989.0,55220
mat2 mul mat2,glam,,181528.0,57730
mat2 mul mat2,glam,,189557.0,60240
mat2 mul mat2,glam,,197098.0,62750
mat2 mul mat2,glam,,205367.0,65260
mat2 mul mat2,glam,,213227.0,67770
mat2 mul mat2,glam,,221157.0,70280
mat2 mul mat2,glam,,229379.0,72790
mat2 mul mat2,glam,,230162.0,75300
mat2 mul mat2,glam,,237842.0,77810
mat2 mul mat2,glam,,245507.0,80320
mat2 mul mat2,glam,,253187.0,82830
mat2 mul mat2,glam,,260815.0,85340
mat2 mul mat2,glam,,268892.0,87850
mat2 mul mat2,glam,,276200.0,90360
mat2 mul mat2,glam,,284264.0,92870
mat2 mul mat2,glam,,291553.0,95380
mat2 mul mat2,glam,,299215.0,97890
mat2 mul mat2,glam,,307326.0,100400
mat2 mul mat2,glam,,314526.0,102910
mat2 mul mat2,glam,,322696.0,105420
mat2 mul mat2,glam,,329905.0,107930
mat2 mul mat2,glam,,358189.0,110440
mat2 mul mat2,glam,,345752.0,112950
mat2 mul mat2,glam,,354385.0,115460
mat2 mul mat2,glam,,360600.0,117970
mat2 mul mat2,glam,,368231.0,120480
mat2 mul mat2,glam,,375867.0,122990
mat2 mul mat2,glam,,383543.0,125500
mat2 mul mat2,glam,,391212.0,128010
mat2 mul mat2,glam,,398932.0,130520
mat2 mul mat2,glam,,406531.0,133030
mat2 mul mat2,glam,,414261.0,135540
mat2 mul mat2,glam,,421875.0,138050
mat2 mul mat2,glam,,431551.0,140560
mat2 mul mat2,glam,,438698.0,143070
mat2 mul mat2,glam,,444907.0,145580
mat2 mul mat2,glam,,452575.0,148090
mat2 mul mat2,glam,,460976.0,150600
mat2 mul mat2,glam,,467905.0,153110
mat2 mul mat2,glam,,475560.0,155620
mat2 mul mat2,glam,,483356.0,158130
mat2 mul mat2,glam,,490908.0,160640
mat2 mul mat2,glam,,498583.0,163150
mat2 mul mat2,glam,,506301.0,165660
mat2 mul mat2,glam,,514733.0,168170
mat2 mul mat2,glam,,522419.0,170680
mat2 mul mat2,glam,,529272.0,173190
mat2 mul mat2,glam,,536989.0,175700
mat2 mul mat2,glam,,545478.0,178210
mat2 mul mat2,glam,,553150.0,180720
mat2 mul mat2,glam,,559960.0,183230
mat2 mul mat2,glam,,567657.0,185740
mat2 mul mat2,glam,,575337.0,188250
mat2 mul mat2,glam,,583001.0,190760
mat2 mul mat2,glam,,590690.0,193270
mat2 mul mat2,glam,,599955.0,195780
mat2 mul mat2,glam,,605994.0,198290
mat2 mul mat2,glam,,613680.0,200800
mat2 mul mat2,glam,,621325.0,203310
mat2 mul mat2,glam,,629002.0,205820
mat2 mul mat2,glam,,659303.0,208330
mat2 mul mat2,glam,,644307.0,210840
mat2 mul mat2,glam,,652029.0,213350
mat2 mul mat2,glam,,659667.0,215860
mat2 mul mat2,glam,,667404.0,218370
mat2 mul mat2,glam,,676569.0,220880
mat2 mul mat2,glam,,682722.0,223390
mat2 mul mat2,glam,,692065.0,225900
mat2 mul mat2,glam,,718256.0,228410
mat2 mul mat2,glam,,727617.0,230920
mat2 mul mat2,glam,,715559.0,233430
mat2 mul mat2,glam,,742166.0,235940
mat2 mul mat2,glam,,728785.0,238450
mat2 mul mat2,glam,,736438.0,240960
mat2 mul mat2,glam,,744041.0,243470
mat2 mul mat2,glam,,752906.0,245980
mat2 mul mat2,glam,,760585.0,248490
mat2 mul mat2,glam,,767056.0,251000
