group,function,value,sample_time_nanos,iteration_count
mat2 transpose,cgmath,,984899.0,746587
mat2 transpose,cgmath,,1975769.0,1493174
mat2 transpose,cgmath,,2957307.0,2239761
mat2 transpose,cgmath,,3994685.0,2986348
mat2 transpose,cgmath,,5057633.0,3732935
mat2 transpose,cgmath,,5917555.0,4479522
mat2 transpose,cgmath,,7144121.0,5226109
mat2 transpose,cgmath,,7969920.0,5972696
mat2 transpose,cgmath,,8870084.0,6719283
mat2 transpose,cgmath,,9868822.0,7465870
mat2 transpose,cgmath,,10868445.0,8212457
mat2 transpose,cgmath,,11847711.0,8959044
mat2 transpose,cgmath,,12813695.0,9705631
mat2 transpose,cgmath,,13796981.0,10452218
mat2 transpose,cgmath,,14808859.0,11198805
mat2 transpose,cgmath,,15800016.0,11945392
mat2 transpose,cgmath,,16757893.0,12691979
mat2 transpose,cgmath,,17789393.0,13438566
mat2 transpose,cgmath,,18728184.0,14185153
mat2 transpose,cgmath,,19740097.0,14931740
mat2 transpose,cgmath,,20700981.0,15678327
mat2 transpose,cgmath,,21703985.0,16424914
mat2 transpose,cgmath,,22713845.0,17171501
mat2 transpose,cgmath,,23683385.0,17918088
mat2 transpose,cgmath,,24824791.0,18664675
mat2 transpose,cgmath,,25714284.0,19411262
mat2 transpose,cgmath,,26635536.0,20157849
mat2 transpose,cgmath,,27656670.0,20904436
mat2 transpose,cgmath,,28581886.0,21651023
mat2 transpose,cgmath,,29729717.0,22397610
mat2 transpose,cgmath,,30623481.0,23144197
mat2 transpose,cgmath,,31544294.0,23890784
mat2 transpose,cgmath,,32528856.0,24637371
mat2 transpose,cgmath,,33560352.0,25383958
mat2 transpose,cgmath,,34771553.0,26130545
mat2 transpose,cgmath,,35551226.0,26877132
mat2 transpose,cgmath,,36485205.0,27623719
mat2 transpose,cgmath,,37458802.0,28370306
mat2 transpose,cgmath,,38483111.0,29116893
mat2 transpose,cgmath,,39450833.0,29863480
mat2 transpose,cgmath,,40421194.0,30610067
mat2 transpose,cgmath,,41441273.0,31356654
mat2 transpose,cgmath,,42722449.0,32103241
mat2 transpose,cgmath,,43474206.0,32849828
mat2 transpose,cgmath,,44376411.0,33596415
mat2 transpose,cgmath,,45382211.0,34343002
mat2 transpose,cgmath,,46335945.0,35089589
mat2 transpose,cgmath,,47336752.0,35836176
mat2 transpose,cgmath,,48339074.0,36582763
mat2 transpose,cgmath,,49334840.0,37329350
mat2 transpose,cgmath,,50288758.0,38075937
mat2 transpose,cgmath,,51260186.0,38822524
mat2 transpose,cgmath,,52508891.0,39569111
mat2 transpose,cgmath,,53363910.0,40315698
mat2 transpose,cgmath,,54502197.0,41062285
mat2 transpose,cgmath,,55271549.0,41808872
mat2 transpose,cgmath,,56346579.0,42555459
mat2 transpose,cgmath,,57216269.0,43302046
mat2 transpose,cgmath,,58158095.0,44048633
mat2 transpose,cgmath,,59193917.0,44795220
mat2 transpose,cgmath,,60169021.0,45541807
mat2 transpose,cgmath,,61119609.0,46288394
mat2 transpose,cgmath,,62205071.0,47034981
mat2 transpose,cgmath,,63111291.0,47781568
mat2 transpose,cgmath,,64152263.0,48528155
mat2 transpose,cgmath,,65333531.0,49274742
mat2 transpose,cgmath,,66325840.0,50021329
mat2 transpose,cgmath,,67075295.0,50767916
mat2 transpose,cgmath,,68081382.0,51514503
mat2 transpose,cgmath,,69040760.0,52261090
mat2 transpose,cgmath,,70068304.0,53007677
mat2 transpose,cgmath,,71033346.0,53754264
mat2 transpose,cgmath,,72036345.0,54500851
mat2 transpose,cgmath,,73249838.0,55247438
mat2 transpose,cgmath,,74000224.0,55994025
mat2 transpose,cgmath,,74955629.0,56740612
mat2 transpose,cgmath,,75954922.0,57487199
mat2 transpose,cgmath,,77330810.0,58233786
mat2 transpose,cgmath,,77912146.0,58980373
mat2 transpose,cgmath,,78957871.0,59726960
mat2 transpose,cgmath,,80004951.0,60473547
mat2 transpose,cgmath,,81162546.0,61220134
mat2 transpose,cgmath,,81877902.0,61966721
mat2 transpose,cgmath,,83120550.0,62713308
mat2 transpose,cgmath,,83861776.0,63459895
mat2 transpose,cgmath,,84836147.0,64206482
mat2 transpose,cgmath,,85804267.0,64953069
mat2 transpose,cgmath,,87067479.0,65699656
mat2 transpose,cgmath,,88076503.0,66446243
mat2 transpose,cgmath,,88832393.0,67192830
mat2 transpose,cgmath,,89767645.0,67939417
mat2 transpose,cgmath,,90737962.0,68686004
mat2 transpose,cgmath,,91740936.0,69432591
mat2 transpose,cgmath,,92768296.0,70179178
mat2 transpose,cgmath,,93709536.0,70925765
mat2 transpose,cgmath,,95005605.0,71672352
mat2 transpose,cgmath,,95931599.0,72418939
mat2 transpose,cgmath,,96643506.0,73165526
mat2 transpose,cgmath,,97635542.0,73912113
mat2 transpose,cgmath,,98723377.0,74658700
