group,function,value,sample_time_nanos,iteration_count
mat3 determinant,cgmath,,986854.0,390614
mat3 determinant,cgmath,,1976245.0,781228
mat3 determinant,cgmath,,2959497.0,1171842
mat3 determinant,cgmath,,4051005.0,1562456
mat3 determinant,cgmath,,5006145.0,1953070
mat3 determinant,cgmath,,5919965.0,2343684
mat3 determinant,cgmath,,6930050.0,2734298
mat3 determinant,cgmath,,7908166.0,3124912
mat3 determinant,cgmath,,8888350.0,3515526
mat3 determinant,cgmath,,9888962.0,3906140
mat3 determinant,cgmath,,10857555.0,4296754
mat3 determinant,cgmath,,11853902.0,4687368
mat3 determinant,cgmath,,12831076.0,5077982
mat3 determinant,cgmath,,13838627.0,5468596
mat3 determinant,cgmath,,14802357.0,5859210
mat3 determinant,cgmath,,15789334.0,6249824
mat3 determinant,cgmath,,16797202.0,6640438
mat3 determinant,cgmath,,17763949.0,7031052
mat3 determinant,cgmath,,18761424.0,7421666
mat3 determinant,cgmath,,19761080.0,7812280
mat3 determinant,cgmath,,20725297.0,8202894
mat3 determinant,cgmath,,21728012.0,8593508
mat3 determinant,cgmath,,22718521.0,8984122
mat3 determinant,cgmath,,23712894.0,9374736
mat3 determinant,cgmath,,24699568.0,9765350
mat3 determinant,cgmath,,25665103.0,10155964
mat3 determinant,cgmath,,26655572.0,10546578
mat3 determinant,cgmath,,27736692.0,10937192
mat3 determinant,cgmath,,28680248.0,11327806
mat3 determinant,cgmath,,29610133.0,11718420
mat3 determinant,cgmath,,30604314.0,12109034
mat3 determinant,cgmath,,31605083.0,12499648
mat3 determinant,cgmath,,32640274.0,12890262
mat3 determinant,cgmath,,33562259.0,13280876
mat3 determinant,cgmath,,34564092.0,13671490
mat3 determinant,cgmath,,35532989.0,14062104
mat3 determinant,cgmath,,36543588.0,14452718
mat3 determinant,cgmath,,37705236.0,14843332
mat3 determinant,cgmath,,38516099.0,15233946
mat3 determinant,cgmath,,39669235.0,15624560
mat3 determinant,cgmath,,40466627.0,16015174
mat3 determinant,cgmath,,41483447.0,16405788
mat3 determinant,cgmath,,42465222.0,16796402
mat3 determinant,cgmath,,43432822.0,17187016
mat3 determinant,cgmath,,44439161.0,17577630
mat3 determinant,cgmath,,45420745.0,17968244
mat3 determinant,cgmath,,46412835.0,18358858
mat3 determinant,cgmath,,47409179.0,18749472
mat3 determinant,cgmath,,48431566.0,19140086
mat3 determinant,cgmath,,49349305.0,19530700
mat3 determinant,cgmath,,50405608.0,19921314
mat3 determinant,cgmath,,51321627.0,20311928
mat3 determinant,cgmath,,52470658.0,20702542
mat3 determinant,cgmath,,53354067.0,21093156
mat3 determinant,cgmath,,54333600.0,21483770
mat3 determinant,cgmath,,60562588.0,21874384
mat3 determinant,cgmath,,56278182.0,22264998
mat3 determinant,cgmath,,57328263.0,22655612
mat3 determinant,cgmath,,58256556.0,23046226
mat3 determinant,cgmath,,59390715.0,23436840
mat3 determinant,cgmath,,60291320.0,23827454
mat3 determinant,cgmath,,61253192.0,24218068
mat3 determinant,cgmath,,63101511.0,24608682
mat3 determinant,cgmath,,63178081.0,24999296
mat3 determinant,cgmath,,64186320.0,25389910
mat3 determinant,cgmath,,65206835.0,25780524
mat3 determinant,cgmath,,66125713.0,26171138
mat3 determinant,cgmath,,67154810.0,26561752
mat3 determinant,cgmath,,68126211.0,26952366
mat3 determinant,cgmath,,69088553.0,27342980
mat3 determinant,cgmath,,70092960.0,27733594
mat3 determinant,cgmath,,71118621.0,28124208
mat3 determinant,cgmath,,72052351.0,28514822
mat3 determinant,cgmath,,73080268.0,28905436
mat3 determinant,cgmath,,74458113.0,29296050
mat3 determinant,cgmath,,75038886.0,29686664
mat3 determinant,cgmath,,76030784.0,30077278
mat3 determinant,cgmath,,77019647.0,30467892
mat3 determinant,cgmath,,78001624.0,30858506
mat3 determinant,cgmath,,79028961.0,31249120
mat3 determinant,cgmath,,80014797.0,31639734
mat3 determinant,cgmath,,80933829.0,32030348
mat3 determinant,cgmath,,81943190.0,32420962
mat3 determinant,cgmath,,82928648.0,32811576
mat3 determinant,cgmath,,83972291.0,33202190
mat3 determinant,cgmath,,84905353.0,33592804
mat3 determinant,cgmath,,86511412.0,33983418
mat3 determinant,cgmath,,86902050.0,34374032
mat3 determinant,cgmath,,87921044.0,34764646
mat3 determinant,cgmath,,88862636.0,35155260
mat3 determinant,cgmath,,89862437.0,35545874
mat3 determinant,cgmath,,90821009.0,35936488
mat3 determinant,cgmath,,91831145.0,36327102
mat3 determinant,cgmath,,92805599.0,36717716
mat3 determinant,cgmath,,93790496.0,37108330
mat3 determinant,cgmath,,94788901.0,37498944
mat3 determinant,cgmath,,95905288.0,37889558
mat3 determinant,cgmath,,96839127.0,38280172
mat3 determinant,cgmath,,97766506.0,38670786
mat3 determinant,cgmath,,98734412.0,39061400
