group,function,value,sample_time_nanos,iteration_count
mat3 determinant,nalgebra,,986336.0,383953
mat3 determinant,nalgebra,,1976213.0,767906
mat3 determinant,nalgebra,,2960943.0,1151859
mat3 determinant,nalgebra,,4026980.0,1535812
mat3 determinant,nalgebra,,4933697.0,1919765
mat3 determinant,nalgebra,,5923365.0,2303718
mat3 determinant,nalgebra,,6927229.0,2687671
mat3 determinant,nalgebra,,7916097.0,3071624
mat3 determinant,nalgebra,,8882133.0,3455577
mat3 determinant,nalgebra,,9909879.0,3839530
mat3 determinant,nalgebra,,10855707.0,4223483
mat3 determinant,nalgebra,,11863718.0,4607436
mat3 determinant,nalgebra,,12828446.0,4991389
mat3 determinant,nalgebra,,13816813.0,5375342
mat3 determinant,nalgebra,,14862907.0,5759295
mat3 determinant,nalgebra,,15810435.0,6143248
mat3 determinant,nalgebra,,16797127.0,6527201
mat3 determinant,nalgebra,,17763202.0,6911154
mat3 determinant,nalgebra,,18747587.0,7295107
mat3 determinant,nalgebra,,19775632.0,7679060
mat3 determinant,nalgebra,,20819222.0,8063013
mat3 determinant,nalgebra,,21732165.0,8446966
mat3 determinant,nalgebra,,22695358.0,8830919
mat3 determinant,nalgebra,,23682695.0,9214872
mat3 determinant,nalgebra,,24704435.0,9598825
mat3 determinant,nalgebra,,25764997.0,9982778
mat3 determinant,nalgebra,,26704025.0,10366731
mat3 determinant,nalgebra,,27628832.0,10750684
mat3 determinant,nalgebra,,28657340.0,11134637
mat3 determinant,nalgebra,,29623035.0,11518590
mat3 determinant,nalgebra,,30591760.0,11902543
mat3 determinant,nalgebra,,31597804.0,12286496
mat3 determinant,nalgebra,,32586712.0,12670449
mat3 determinant,nalgebra,,33554661.0,13054402
mat3 determinant,nalgebra,,34557820.0,13438355
mat3 determinant,nalgebra,,35549505.0,13822308
mat3 determinant,nalgebra,,36513814.0,14206261
mat3 determinant,nalgebra,,37537412.0,14590214
mat3 determinant,nalgebra,,38507513.0,14974167
mat3 determinant,nalgebra,,39472339.0,15358120
mat3 determinant,nalgebra,,40526380.0,15742073
mat3 determinant,nalgebra,,41640125.0,16126026
mat3 determinant,nalgebra,,42568962.0,16509979
mat3 determinant,nalgebra,,43459419.0,16893932
mat3 determinant,nalgebra,,44425124.0,17277885
mat3 determinant,nalgebra,,45439008.0,17661838
mat3 determinant,nalgebra,,46639589.0,18045791
mat3 determinant,nalgebra,,47404498.0,18429744
mat3 determinant,nalgebra,,48398152.0,18813697
mat3 determinant,nalgebra,,49384451.0,19197650
mat3 determinant,nalgebra,,50352107.0,19581603
mat3 determinant,nalgebra,,51356366.0,19965556
mat3 determinant,nalgebra,,52301002.0,20349509
mat3 determinant,nalgebra,,53354214.0,20733462
mat3 determinant,nalgebra,,54291759.0,21117415
mat3 determinant,nalgebra,,55282659.0,21501368
mat3 determinant,nalgebra,,56270712.0,21885321
mat3 determinant,nalgebra,,57752200.0,22269274
mat3 determinant,nalgebra,,58264307.0,22653227
mat3 determinant,nalgebra,,59207388.0,23037180
mat3 determinant,nalgebra,,60262095.0,23421133
mat3 determinant,nalgebra,,61243231.0,23805086
mat3 determinant,nalgebra,,62350507.0,24189039
mat3 determinant,nalgebra,,63217688.0,24572992
mat3 determinant,nalgebra,,64182853.0,24956945
mat3 determinant,nalgebra,,65247474.0,25340898
mat3 determinant,nalgebra,,66174081.0,25724851
mat3 determinant,nalgebra,,67146840.0,26108804
mat3 determinant,nalgebra,,68135138.0,26492757
mat3 determinant,nalgebra,,69143224.0,26876710
mat3 determinant,nalgebra,,70080826.0,27260663
mat3 determinant,nalgebra,,71073044.0,27644616
mat3 determinant,nalgebra,,72080629.0,28028569
mat3 determinant,nalgebra,,73086543.0,28412522
mat3 determinant,nalgebra,,74032764.0,28796475
mat3 determinant,nalgebra,,75041038.0,29180428
mat3 determinant,nalgebra,,76370312.0,29564381
mat3 determinant,nalgebra,,77011979.0,29948334
mat3 determinant,nalgebra,,78059107.0,30332287
mat3 determinant,nalgebra,,78987375.0,30716240
mat3 determinant,nalgebra,,79993589.0,31100193
mat3 determinant,nalgebra,,80973514.0,31484146
mat3 determinant,nalgebra,,81991976.0,31868099
mat3 determinant,nalgebra,,82931154.0,32252052
mat3 determinant,nalgebra,,83903897.0,32636005
mat3 determinant,nalgebra,,84912046.0,33019958
mat3 determinant,nalgebra,,86015923.0,33403911
mat3 determinant,nalgebra,,87009767.0,33787864
mat3 determinant,nalgebra,,88126633.0,34171817
mat3 determinant,nalgebra,,88876583.0,34555770
mat3 determinant,nalgebra,,89876227.0,34939723
mat3 determinant,nalgebra,,90843719.0,35323676
mat3 determinant,nalgebra,,91840542.0,35707629
mat3 determinant,nalgebra,,92862871.0,36091582
mat3 determinant,nalgebra,,93786011.0,36475535
mat3 determinant,nalgebra,,94776983.0,36859488
mat3 determinant,nalgebra,,95765460.0,37243441
mat3 determinant,nalgebra,,96745480.0,37627394
mat3 determinant,nalgebra,,97896375.0,38011347
mat3 determinant,nalgebra,,99040635.0,38395300
