group,function,value,sample_time_nanos,iteration_count
mat3 inverse,glam,,957856.0,127433
mat3 inverse,glam,,1912922.0,254866
mat3 inverse,glam,,2937221.0,382299
mat3 inverse,glam,,4093547.0,509732
mat3 inverse,glam,,4969069.0,637165
mat3 inverse,glam,,5899190.0,764598
mat3 inverse,glam,,7134153.0,892031
mat3 inverse,glam,,8005334.0,1019464
mat3 inverse,glam,,8870352.0,1146897
mat3 inverse,glam,,9889301.0,1274330
mat3 inverse,glam,,10836732.0,1401763
mat3 inverse,glam,,11840577.0,1529196
mat3 inverse,glam,,12863744.0,1656629
mat3 inverse,glam,,13707980.0,1784062
mat3 inverse,glam,,14789180.0,1911495
mat3 inverse,glam,,15838264.0,2038928
mat3 inverse,glam,,16678576.0,2166361
mat3 inverse,glam,,17752610.0,2293794
mat3 inverse,glam,,18704707.0,2421227
mat3 inverse,glam,,19662964.0,2548660
mat3 inverse,glam,,20729416.0,2676093
mat3 inverse,glam,,21562952.0,2803526
mat3 inverse,glam,,23362803.0,2930959
mat3 inverse,glam,,23593928.0,3058392
mat3 inverse,glam,,24730147.0,3185825
mat3 inverse,glam,,25490768.0,3313258
mat3 inverse,glam,,26592153.0,3440691
mat3 inverse,glam,,27301093.0,3568124
mat3 inverse,glam,,28494382.0,3695557
mat3 inverse,glam,,29304502.0,3822990
mat3 inverse,glam,,30652009.0,3950423
mat3 inverse,glam,,31610458.0,4077856
mat3 inverse,glam,,32910586.0,4205289
mat3 inverse,glam,,33466568.0,4332722
mat3 inverse,glam,,34456130.0,4460155
mat3 inverse,glam,,35373839.0,4587588
mat3 inverse,glam,,36429748.0,4715021
mat3 inverse,glam,,37616848.0,4842454
mat3 inverse,glam,,38246429.0,4969887
mat3 inverse,glam,,39146080.0,5097320
mat3 inverse,glam,,40414425.0,5224753
mat3 inverse,glam,,41282964.0,5352186
mat3 inverse,glam,,42359637.0,5479619
mat3 inverse,glam,,43350989.0,5607052
mat3 inverse,glam,,44325601.0,5734485
mat3 inverse,glam,,45317136.0,5861918
mat3 inverse,glam,,46338863.0,5989351
mat3 inverse,glam,,47722283.0,6116784
mat3 inverse,glam,,48258209.0,6244217
mat3 inverse,glam,,49478801.0,6371650
mat3 inverse,glam,,50376035.0,6499083
mat3 inverse,glam,,51015342.0,6626516
mat3 inverse,glam,,52196333.0,6753949
mat3 inverse,glam,,53197748.0,6881382
mat3 inverse,glam,,54244326.0,7008815
mat3 inverse,glam,,55052560.0,7136248
mat3 inverse,glam,,56175159.0,7263681
mat3 inverse,glam,,57076716.0,7391114
mat3 inverse,glam,,58428130.0,7518547
mat3 inverse,glam,,59036188.0,7645980
mat3 inverse,glam,,60040133.0,7773413
mat3 inverse,glam,,60938208.0,7900846
mat3 inverse,glam,,61990294.0,8028279
mat3 inverse,glam,,63098573.0,8155712
mat3 inverse,glam,,64338466.0,8283145
mat3 inverse,glam,,64890317.0,8410578
mat3 inverse,glam,,66043889.0,8538011
mat3 inverse,glam,,67292276.0,8665444
mat3 inverse,glam,,68456597.0,8792877
mat3 inverse,glam,,68879535.0,8920310
mat3 inverse,glam,,69558678.0,9047743
mat3 inverse,glam,,70944780.0,9175176
mat3 inverse,glam,,71896707.0,9302609
mat3 inverse,glam,,72724138.0,9430042
mat3 inverse,glam,,73842407.0,9557475
mat3 inverse,glam,,74990651.0,9684908
mat3 inverse,glam,,75960608.0,9812341
mat3 inverse,glam,,76911586.0,9939774
mat3 inverse,glam,,77860618.0,10067207
mat3 inverse,glam,,78609430.0,10194640
mat3 inverse,glam,,79657008.0,10322073
mat3 inverse,glam,,80789387.0,10449506
mat3 inverse,glam,,81668680.0,10576939
mat3 inverse,glam,,82533172.0,10704372
mat3 inverse,glam,,84057610.0,10831805
mat3 inverse,glam,,85088689.0,10959238
mat3 inverse,glam,,85570147.0,11086671
mat3 inverse,glam,,86439199.0,11214104
mat3 inverse,glam,,87589279.0,11341537
mat3 inverse,glam,,88631228.0,11468970
mat3 inverse,glam,,90032663.0,11596403
mat3 inverse,glam,,90790574.0,11723836
mat3 inverse,glam,,91404939.0,11851269
mat3 inverse,glam,,92268979.0,11978702
mat3 inverse,glam,,93598188.0,12106135
mat3 inverse,glam,,94625144.0,12233568
mat3 inverse,glam,,95372615.0,12361001
mat3 inverse,glam,,96509999.0,12488434
mat3 inverse,glam,,97089526.0,12615867
mat3 inverse,glam,,98407593.0,12743300
