group,function,value,sample_time_nanos,iteration_count
mat3 inverse,glam,,972630.0,128217
mat3 inverse,glam,,1957483.0,256434
mat3 inverse,glam,,2891728.0,384651
mat3 inverse,glam,,3963385.0,512868
mat3 inverse,glam,,4859297.0,641085
mat3 inverse,glam,,5879382.0,769302
mat3 inverse,glam,,6983295.0,897519
mat3 inverse,glam,,7899171.0,1025736
mat3 inverse,glam,,8915603.0,1153953
mat3 inverse,glam,,9911162.0,1282170
mat3 inverse,glam,,10952074.0,1410387
mat3 inverse,glam,,11870682.0,1538604
mat3 inverse,glam,,12817801.0,1666821
mat3 inverse,glam,,13838792.0,1795038
mat3 inverse,glam,,14777444.0,1923255
mat3 inverse,glam,,15803558.0,2051472
mat3 inverse,glam,,16730423.0,2179689
mat3 inverse,glam,,17546961.0,2307906
mat3 inverse,glam,,18663451.0,2436123
mat3 inverse,glam,,19725019.0,2564340
mat3 inverse,glam,,20716954.0,2692557
mat3 inverse,glam,,21711505.0,2820774
mat3 inverse,glam,,22758724.0,2948991
mat3 inverse,glam,,23752333.0,3077208
mat3 inverse,glam,,24597177.0,3205425
mat3 inverse,glam,,25655316.0,3333642
mat3 inverse,glam,,26635557.0,3461859
mat3 inverse,glam,,27702876.0,3590076
mat3 inverse,glam,,28688161.0,3718293
mat3 inverse,glam,,29691485.0,3846510
mat3 inverse,glam,,30444344.0,3974727
mat3 inverse,glam,,31592175.0,4102944
mat3 inverse,glam,,32579400.0,4231161
mat3 inverse,glam,,33575039.0,4359378
mat3 inverse,glam,,34635191.0,4487595
mat3 inverse,glam,,35553191.0,4615812
mat3 inverse,glam,,36558853.0,4744029
mat3 inverse,glam,,37414952.0,4872246
mat3 inverse,glam,,38434311.0,5000463
mat3 inverse,glam,,39516136.0,5128680
mat3 inverse,glam,,40542399.0,5256897
mat3 inverse,glam,,41363529.0,5385114
mat3 inverse,glam,,42523761.0,5513331
mat3 inverse,glam,,43297533.0,5641548
mat3 inverse,glam,,44484905.0,5769765
mat3 inverse,glam,,45075741.0,5897982
mat3 inverse,glam,,46259127.0,6026199
mat3 inverse,glam,,47498506.0,6154416
mat3 inverse,glam,,48446091.0,6282633
mat3 inverse,glam,,49366701.0,6410850
mat3 inverse,glam,,50527727.0,6539067
mat3 inverse,glam,,51475504.0,6667284
mat3 inverse,glam,,52434713.0,6795501
mat3 inverse,glam,,53383186.0,6923718
mat3 inverse,glam,,54441489.0,7051935
mat3 inverse,glam,,55233340.0,7180152
mat3 inverse,glam,,56257175.0,7308369
mat3 inverse,glam,,57324912.0,7436586
mat3 inverse,glam,,58232921.0,7564803
mat3 inverse,glam,,59379107.0,7693020
mat3 inverse,glam,,60302883.0,7821237
mat3 inverse,glam,,61097402.0,7949454
mat3 inverse,glam,,62332696.0,8077671
mat3 inverse,glam,,63410515.0,8205888
mat3 inverse,glam,,64170553.0,8334105
mat3 inverse,glam,,65102779.0,8462322
mat3 inverse,glam,,66366770.0,8590539
mat3 inverse,glam,,67307766.0,8718756
mat3 inverse,glam,,68131966.0,8846973
mat3 inverse,glam,,69251647.0,8975190
mat3 inverse,glam,,69954692.0,9103407
mat3 inverse,glam,,71101814.0,9231624
mat3 inverse,glam,,72269766.0,9359841
mat3 inverse,glam,,73277134.0,9488058
mat3 inverse,glam,,74085183.0,9616275
mat3 inverse,glam,,75108158.0,9744492
mat3 inverse,glam,,76080621.0,9872709
mat3 inverse,glam,,77183441.0,10000926
mat3 inverse,glam,,77929143.0,10129143
mat3 inverse,glam,,78932540.0,10257360
mat3 inverse,glam,,80118835.0,10385577
mat3 inverse,glam,,81117029.0,10513794
mat3 inverse,glam,,81957873.0,10642011
mat3 inverse,glam,,82944450.0,10770228
mat3 inverse,glam,,83927593.0,10898445
mat3 inverse,glam,,84987306.0,11026662
mat3 inverse,glam,,86075686.0,11154879
mat3 inverse,glam,,86785105.0,11283096
mat3 inverse,glam,,87795363.0,11411313
mat3 inverse,glam,,89241856.0,11539530
mat3 inverse,glam,,89719227.0,11667747
mat3 inverse,glam,,90872936.0,11795964
mat3 inverse,glam,,91757844.0,11924181
mat3 inverse,glam,,93196826.0,12052398
mat3 inverse,glam,,93930846.0,12180615
mat3 inverse,glam,,94825494.0,12308832
mat3 inverse,glam,,95558997.0,12437049
mat3 inverse,glam,,96867953.0,12565266
mat3 inverse,glam,,97850567.0,12693483
mat3 inverse,glam,,98849063.0,12821700
