group,function,value,sample_time_nanos,iteration_count
mat3 mul mat3,glam,,7611.0,1560
mat3 mul mat3,glam,,15211.0,3120
mat3 mul mat3,glam,,22804.0,4680
mat3 mul mat3,glam,,30387.0,6240
mat3 mul mat3,glam,,37992.0,7800
mat3 mul mat3,glam,,45566.0,9360
mat3 mul mat3,glam,,56453.0,10920
mat3 mul mat3,glam,,60779.0,12480
mat3 mul mat3,glam,,68364.0,14040
mat3 mul mat3,glam,,75951.0,15600
mat3 mul mat3,glam,,88625.0,17160
mat3 mul mat3,glam,,93836.0,18720
mat3 mul mat3,glam,,101654.0,20280
mat3 mul mat3,glam,,109469.0,21840
mat3 mul mat3,glam,,117290.0,23400
mat3 mul mat3,glam,,121531.0,24960
mat3 mul mat3,glam,,129130.0,26520
mat3 mul mat3,glam,,172046.0,28080
mat3 mul mat3,glam,,144325.0,29640
mat3 mul mat3,glam,,151907.0,31200
mat3 mul mat3,glam,,159521.0,32760
mat3 mul mat3,glam,,167102.0,34320
mat3 mul mat3,glam,,174715.0,35880
mat3 mul mat3,glam,,182273.0,37440
mat3 mul mat3,glam,,189881.0,39000
mat3 mul mat3,glam,,197485.0,40560
mat3 mul mat3,glam,,205070.0,42120
mat3 mul mat3,glam,,212667.0,43680
mat3 mul mat3,glam,,220265.0,45240
mat3 mul mat3,glam,,229532.0,46800
mat3 mul mat3,glam,,235467.0,48360
mat3 mul mat3,glam,,243065.0,49920
mat3 mul mat3,glam,,250650.0,51480
mat3 mul mat3,glam,,258256.0,53040
mat3 mul mat3,glam,,265853.0,54600
mat3 mul mat3,glam,,283872.0,56160
mat3 mul mat3,glam,,281021.0,57720
mat3 mul mat3,glam,,288625.0,59280
mat3 mul mat3,glam,,296228.0,60840
mat3 mul mat3,glam,,325616.0,62400
mat3 mul mat3,glam,,313036.0,63960
mat3 mul mat3,glam,,319011.0,65520
mat3 mul mat3,glam,,326598.0,67080
mat3 mul mat3,glam,,334192.0,68640
mat3 mul mat3,glam,,341789.0,70200
mat3 mul mat3,glam,,370559.0,71760
mat3 mul mat3,glam,,380206.0,73320
mat3 mul mat3,glam,,386676.0,74880
mat3 mul mat3,glam,,383118.0,76440
mat3 mul mat3,glam,,390922.0,78000
mat3 mul mat3,glam,,387355.0,79560
mat3 mul mat3,glam,,394954.0,81120
mat3 mul mat3,glam,,402585.0,82680
mat3 mul mat3,glam,,410170.0,84240
mat3 mul mat3,glam,,417723.0,85800
mat3 mul mat3,glam,,425358.0,87360
mat3 mul mat3,glam,,432923.0,88920
mat3 mul mat3,glam,,440538.0,90480
mat3 mul mat3,glam,,448121.0,92040
mat3 mul mat3,glam,,457513.0,93600
mat3 mul mat3,glam,,465058.0,95160
mat3 mul mat3,glam,,470912.0,96720
mat3 mul mat3,glam,,499078.0,98280
mat3 mul mat3,glam,,486114.0,99840
mat3 mul mat3,glam,,508217.0,101400
mat3 mul mat3,glam,,501294.0,102960
mat3 mul mat3,glam,,508898.0,104520
mat3 mul mat3,glam,,516471.0,106080
mat3 mul mat3,glam,,524059.0,107640
mat3 mul mat3,glam,,531679.0,109200
mat3 mul mat3,glam,,540707.0,110760
mat3 mul mat3,glam,,566822.0,112320
mat3 mul mat3,glam,,554503.0,113880
mat3 mul mat3,glam,,582402.0,115440
mat3 mul mat3,glam,,569647.0,117000
mat3 mul mat3,glam,,608183.0,118560
mat3 mul mat3,glam,,584848.0,120120
mat3 mul mat3,glam,,592416.0,121680
mat3 mul mat3,glam,,617683.0,123240
mat3 mul mat3,glam,,607631.0,124800
mat3 mul mat3,glam,,615219.0,126360
mat3 mul mat3,glam,,624484.0,127920
mat3 mul mat3,glam,,630435.0,129480
mat3 mul mat3,glam,,639635.0,131040
mat3 mul mat3,glam,,645605.0,132600
mat3 mul mat3,glam,,653220.0,134160
mat3 mul mat3,glam,,660806.0,135720
mat3 mul mat3,glam,,668398.0,137280
mat3 mul mat3,glam,,675963.0,138840
mat3 mul mat3,glam,,683596.0,140400
mat3 mul mat3,glam,,711499.0,141960
mat3 mul mat3,glam,,709305.0,143520
mat3 mul mat3,glam,,706378.0,145080
mat3 mul mat3,glam,,734202.0,146640
mat3 mul mat3,glam,,721592.0,148200
mat3 mul mat3,glam,,837794.0,149760
mat3 mul mat3,glam,,736736.0,151320
mat3 mul mat3,glam,,744328.0,152880
mat3 mul mat3,glam,,751924.0,154440
mat3 mul mat3,glam,,809026.0,156000
