group,function,value,sample_time_nanos,iteration_count
mat3 transform vec3,glam,,7609.0,3326
mat3 transform vec3,glam,,15195.0,6652
mat3 transform vec3,glam,,22772.0,9978
mat3 transform vec3,glam,,30369.0,13304
mat3 transform vec3,glam,,37939.0,16630
mat3 transform vec3,glam,,45566.0,19956
mat3 transform vec3,glam,,73210.0,23282
mat3 transform vec3,glam,,60703.0,26608
mat3 transform vec3,glam,,68291.0,29934
mat3 transform vec3,glam,,75892.0,33260
mat3 transform vec3,glam,,83471.0,36586
mat3 transform vec3,glam,,100868.0,39912
mat3 transform vec3,glam,,98602.0,43238
mat3 transform vec3,glam,,106226.0,46564
mat3 transform vec3,glam,,113840.0,49890
mat3 transform vec3,glam,,121356.0,53216
mat3 transform vec3,glam,,128935.0,56542
mat3 transform vec3,glam,,136611.0,59868
mat3 transform vec3,glam,,144164.0,63194
mat3 transform vec3,glam,,156137.0,66520
mat3 transform vec3,glam,,159331.0,69846
mat3 transform vec3,glam,,166897.0,73172
mat3 transform vec3,glam,,174503.0,76498
mat3 transform vec3,glam,,182028.0,79824
mat3 transform vec3,glam,,189663.0,83150
mat3 transform vec3,glam,,197213.0,86476
mat3 transform vec3,glam,,204886.0,89802
mat3 transform vec3,glam,,218614.0,93128
mat3 transform vec3,glam,,219961.0,96454
mat3 transform vec3,glam,,227555.0,99780
mat3 transform vec3,glam,,246369.0,103106
mat3 transform vec3,glam,,242745.0,106432
mat3 transform vec3,glam,,257741.0,109758
mat3 transform vec3,glam,,265477.0,113084
mat3 transform vec3,glam,,265480.0,116410
mat3 transform vec3,glam,,273094.0,119736
mat3 transform vec3,glam,,280692.0,123062
mat3 transform vec3,glam,,288249.0,126388
mat3 transform vec3,glam,,295769.0,129714
mat3 transform vec3,glam,,303402.0,133040
mat3 transform vec3,glam,,312856.0,136366
mat3 transform vec3,glam,,318616.0,139692
mat3 transform vec3,glam,,326109.0,143018
mat3 transform vec3,glam,,333678.0,146344
mat3 transform vec3,glam,,341333.0,149670
mat3 transform vec3,glam,,348915.0,152996
mat3 transform vec3,glam,,356570.0,156322
mat3 transform vec3,glam,,364060.0,159648
mat3 transform vec3,glam,,371697.0,162974
mat3 transform vec3,glam,,379210.0,166300
mat3 transform vec3,glam,,397177.0,169626
mat3 transform vec3,glam,,394360.0,172952
mat3 transform vec3,glam,,406157.0,176278
mat3 transform vec3,glam,,409619.0,179604
mat3 transform vec3,glam,,452368.0,182930
mat3 transform vec3,glam,,437212.0,186256
mat3 transform vec3,glam,,432455.0,189582
mat3 transform vec3,glam,,439953.0,192908
mat3 transform vec3,glam,,447444.0,196234
mat3 transform vec3,glam,,454990.0,199560
mat3 transform vec3,glam,,464261.0,202886
mat3 transform vec3,glam,,470331.0,206212
mat3 transform vec3,glam,,477948.0,209538
mat3 transform vec3,glam,,485486.0,212864
mat3 transform vec3,glam,,493194.0,216190
mat3 transform vec3,glam,,515394.0,219516
mat3 transform vec3,glam,,508221.0,222842
mat3 transform vec3,glam,,515774.0,226168
mat3 transform vec3,glam,,523510.0,229494
mat3 transform vec3,glam,,531011.0,232820
mat3 transform vec3,glam,,540134.0,236146
mat3 transform vec3,glam,,562130.0,239472
mat3 transform vec3,glam,,555244.0,242798
mat3 transform vec3,glam,,561218.0,246124
mat3 transform vec3,glam,,569010.0,249450
mat3 transform vec3,glam,,576512.0,252776
mat3 transform vec3,glam,,583995.0,256102
mat3 transform vec3,glam,,591615.0,259428
mat3 transform vec3,glam,,599279.0,262754
mat3 transform vec3,glam,,606807.0,266080
mat3 transform vec3,glam,,634446.0,269406
mat3 transform vec3,glam,,641984.0,272732
mat3 transform vec3,glam,,629582.0,276058
mat3 transform vec3,glam,,636927.0,279384
mat3 transform vec3,glam,,663759.0,282710
mat3 transform vec3,glam,,654063.0,286036
mat3 transform vec3,glam,,705604.0,289362
mat3 transform vec3,glam,,690736.0,292688
mat3 transform vec3,glam,,675177.0,296014
mat3 transform vec3,glam,,684265.0,299340
mat3 transform vec3,glam,,690191.0,302666
mat3 transform vec3,glam,,697868.0,305992
mat3 transform vec3,glam,,706909.0,309318
mat3 transform vec3,glam,,756130.0,312644
mat3 transform vec3,glam,,782866.0,315970
mat3 transform vec3,glam,,728112.0,319296
mat3 transform vec3,glam,,797337.0,322622
mat3 transform vec3,glam,,773535.0,325948
mat3 transform vec3,glam,,750926.0,329274
mat3 transform vec3,glam,,758512.0,332600
