group,function,value,sample_time_nanos,iteration_count
mat3 transform vec3,glam,,7717.0,3372
mat3 transform vec3,glam,,15398.0,6744
mat3 transform vec3,glam,,23091.0,10116
mat3 transform vec3,glam,,30795.0,13488
mat3 transform vec3,glam,,38466.0,16860
mat3 transform vec3,glam,,46171.0,20232
mat3 transform vec3,glam,,53869.0,23604
mat3 transform vec3,glam,,61554.0,26976
mat3 transform vec3,glam,,69209.0,30348
mat3 transform vec3,glam,,76909.0,33720
mat3 transform vec3,glam,,84639.0,37092
mat3 transform vec3,glam,,92252.0,40464
mat3 transform vec3,glam,,100005.0,43836
mat3 transform vec3,glam,,107692.0,47208
mat3 transform vec3,glam,,115395.0,50580
mat3 transform vec3,glam,,123081.0,53952
mat3 transform vec3,glam,,130756.0,57324
mat3 transform vec3,glam,,138508.0,60696
mat3 transform vec3,glam,,146105.0,64068
mat3 transform vec3,glam,,153819.0,67440
mat3 transform vec3,glam,,162949.0,70812
mat3 transform vec3,glam,,169207.0,74184
mat3 transform vec3,glam,,176905.0,77556
mat3 transform vec3,glam,,184572.0,80928
mat3 transform vec3,glam,,192340.0,84300
mat3 transform vec3,glam,,200038.0,87672
mat3 transform vec3,glam,,207659.0,91044
mat3 transform vec3,glam,,215362.0,94416
mat3 transform vec3,glam,,223140.0,97788
mat3 transform vec3,glam,,230624.0,101160
mat3 transform vec3,glam,,238403.0,104532
mat3 transform vec3,glam,,246045.0,107904
mat3 transform vec3,glam,,253824.0,111276
mat3 transform vec3,glam,,261455.0,114648
mat3 transform vec3,glam,,269205.0,118020
mat3 transform vec3,glam,,276986.0,121392
mat3 transform vec3,glam,,304619.0,124764
mat3 transform vec3,glam,,292322.0,128136
mat3 transform vec3,glam,,299994.0,131508
mat3 transform vec3,glam,,307679.0,134880
mat3 transform vec3,glam,,315272.0,138252
mat3 transform vec3,glam,,323040.0,141624
mat3 transform vec3,glam,,332212.0,144996
mat3 transform vec3,glam,,338357.0,148368
mat3 transform vec3,glam,,347961.0,151740
mat3 transform vec3,glam,,353766.0,155112
mat3 transform vec3,glam,,361503.0,158484
mat3 transform vec3,glam,,369100.0,161856
mat3 transform vec3,glam,,376842.0,165228
mat3 transform vec3,glam,,384519.0,168600
mat3 transform vec3,glam,,392115.0,171972
mat3 transform vec3,glam,,401431.0,175344
mat3 transform vec3,glam,,407629.0,178716
mat3 transform vec3,glam,,415239.0,182088
mat3 transform vec3,glam,,424443.0,185460
mat3 transform vec3,glam,,430656.0,188832
mat3 transform vec3,glam,,438370.0,192204
mat3 transform vec3,glam,,512538.0,195576
mat3 transform vec3,glam,,455201.0,198948
mat3 transform vec3,glam,,461409.0,202320
mat3 transform vec3,glam,,469194.0,205692
mat3 transform vec3,glam,,476793.0,209064
mat3 transform vec3,glam,,484534.0,212436
mat3 transform vec3,glam,,492121.0,215808
mat3 transform vec3,glam,,499954.0,219180
mat3 transform vec3,glam,,507645.0,222552
mat3 transform vec3,glam,,515254.0,225924
mat3 transform vec3,glam,,522990.0,229296
mat3 transform vec3,glam,,530713.0,232668
mat3 transform vec3,glam,,539703.0,236040
mat3 transform vec3,glam,,546058.0,239412
mat3 transform vec3,glam,,553764.0,242784
mat3 transform vec3,glam,,561284.0,246156
mat3 transform vec3,glam,,569091.0,249528
mat3 transform vec3,glam,,576832.0,252900
mat3 transform vec3,glam,,595282.0,256272
mat3 transform vec3,glam,,592307.0,259644
mat3 transform vec3,glam,,599799.0,263016
mat3 transform vec3,glam,,609049.0,266388
mat3 transform vec3,glam,,615316.0,269760
mat3 transform vec3,glam,,622971.0,273132
mat3 transform vec3,glam,,632077.0,276504
mat3 transform vec3,glam,,638254.0,279876
mat3 transform vec3,glam,,645987.0,283248
mat3 transform vec3,glam,,653835.0,286620
mat3 transform vec3,glam,,661369.0,289992
mat3 transform vec3,glam,,669079.0,293364
mat3 transform vec3,glam,,678243.0,296736
mat3 transform vec3,glam,,686073.0,300108
mat3 transform vec3,glam,,692214.0,303480
mat3 transform vec3,glam,,699715.0,306852
mat3 transform vec3,glam,,707640.0,310224
mat3 transform vec3,glam,,715217.0,313596
mat3 transform vec3,glam,,724666.0,316968
mat3 transform vec3,glam,,730673.0,320340
mat3 transform vec3,glam,,738239.0,323712
mat3 transform vec3,glam,,745943.0,327084
mat3 transform vec3,glam,,753829.0,330456
mat3 transform vec3,glam,,763042.0,333828
mat3 transform vec3,glam,,769054.0,337200
