group,function,value,sample_time_nanos,iteration_count
mat3 transpose,cgmath,,984946.0,280513
mat3 transpose,cgmath,,1967723.0,561026
mat3 transpose,cgmath,,2954587.0,841539
mat3 transpose,cgmath,,4138533.0,1122052
mat3 transpose,cgmath,,5049285.0,1402565
mat3 transpose,cgmath,,5934067.0,1683078
mat3 transpose,cgmath,,7209602.0,1963591
mat3 transpose,cgmath,,7980681.0,2244104
mat3 transpose,cgmath,,8927644.0,2524617
mat3 transpose,cgmath,,10086273.0,2805130
mat3 transpose,cgmath,,10887000.0,3085643
mat3 transpose,cgmath,,11829269.0,3366156
mat3 transpose,cgmath,,12922441.0,3646669
mat3 transpose,cgmath,,13821303.0,3927182
mat3 transpose,cgmath,,14788343.0,4207695
mat3 transpose,cgmath,,15770867.0,4488208
mat3 transpose,cgmath,,16777125.0,4768721
mat3 transpose,cgmath,,17740082.0,5049234
mat3 transpose,cgmath,,18730759.0,5329747
mat3 transpose,cgmath,,19710706.0,5610260
mat3 transpose,cgmath,,20693873.0,5890773
mat3 transpose,cgmath,,21700198.0,6171286
mat3 transpose,cgmath,,22684239.0,6451799
mat3 transpose,cgmath,,23671406.0,6732312
mat3 transpose,cgmath,,24669784.0,7012825
mat3 transpose,cgmath,,26068969.0,7293338
mat3 transpose,cgmath,,26681843.0,7573851
mat3 transpose,cgmath,,27588147.0,7854364
mat3 transpose,cgmath,,28675327.0,8134877
mat3 transpose,cgmath,,29643550.0,8415390
mat3 transpose,cgmath,,30700076.0,8695903
mat3 transpose,cgmath,,31542996.0,8976416
mat3 transpose,cgmath,,32549635.0,9256929
mat3 transpose,cgmath,,33582844.0,9537442
mat3 transpose,cgmath,,34621469.0,9817955
mat3 transpose,cgmath,,35500860.0,10098468
mat3 transpose,cgmath,,36529276.0,10378981
mat3 transpose,cgmath,,37442287.0,10659494
mat3 transpose,cgmath,,38463406.0,10940007
mat3 transpose,cgmath,,39442369.0,11220520
mat3 transpose,cgmath,,40604984.0,11501033
mat3 transpose,cgmath,,41446298.0,11781546
mat3 transpose,cgmath,,42396215.0,12062059
mat3 transpose,cgmath,,43814004.0,12342572
mat3 transpose,cgmath,,44358156.0,12623085
mat3 transpose,cgmath,,45423437.0,12903598
mat3 transpose,cgmath,,46356008.0,13184111
mat3 transpose,cgmath,,47331952.0,13464624
mat3 transpose,cgmath,,48303092.0,13745137
mat3 transpose,cgmath,,49303490.0,14025650
mat3 transpose,cgmath,,50279169.0,14306163
mat3 transpose,cgmath,,51402283.0,14586676
mat3 transpose,cgmath,,52262972.0,14867189
mat3 transpose,cgmath,,53306223.0,15147702
mat3 transpose,cgmath,,54226753.0,15428215
mat3 transpose,cgmath,,55703717.0,15708728
mat3 transpose,cgmath,,56172701.0,15989241
mat3 transpose,cgmath,,57408035.0,16269754
mat3 transpose,cgmath,,58181685.0,16550267
mat3 transpose,cgmath,,59130179.0,16830780
mat3 transpose,cgmath,,60171994.0,17111293
mat3 transpose,cgmath,,61119468.0,17391806
mat3 transpose,cgmath,,62127633.0,17672319
mat3 transpose,cgmath,,63144648.0,17952832
mat3 transpose,cgmath,,64098003.0,18233345
mat3 transpose,cgmath,,65437798.0,18513858
mat3 transpose,cgmath,,66057840.0,18794371
mat3 transpose,cgmath,,67093479.0,19074884
mat3 transpose,cgmath,,68141375.0,19355397
mat3 transpose,cgmath,,69261364.0,19635910
mat3 transpose,cgmath,,70066125.0,19916423
mat3 transpose,cgmath,,71055322.0,20196936
mat3 transpose,cgmath,,71986139.0,20477449
mat3 transpose,cgmath,,73390813.0,20757962
mat3 transpose,cgmath,,73954672.0,21038475
mat3 transpose,cgmath,,74971320.0,21318988
mat3 transpose,cgmath,,75916969.0,21599501
mat3 transpose,cgmath,,76917374.0,21880014
mat3 transpose,cgmath,,78050668.0,22160527
mat3 transpose,cgmath,,78876835.0,22441040
mat3 transpose,cgmath,,80098217.0,22721553
mat3 transpose,cgmath,,81282334.0,23002066
mat3 transpose,cgmath,,81834118.0,23282579
mat3 transpose,cgmath,,83110926.0,23563092
mat3 transpose,cgmath,,83851460.0,23843605
mat3 transpose,cgmath,,84857967.0,24124118
mat3 transpose,cgmath,,85773047.0,24404631
mat3 transpose,cgmath,,86805328.0,24685144
mat3 transpose,cgmath,,88429150.0,24965657
mat3 transpose,cgmath,,88911540.0,25246170
mat3 transpose,cgmath,,89806099.0,25526683
mat3 transpose,cgmath,,90673006.0,25807196
mat3 transpose,cgmath,,91748145.0,26087709
mat3 transpose,cgmath,,92697790.0,26368222
mat3 transpose,cgmath,,93728153.0,26648735
mat3 transpose,cgmath,,95091544.0,26929248
mat3 transpose,cgmath,,95706155.0,27209761
mat3 transpose,cgmath,,96621417.0,27490274
mat3 transpose,cgmath,,98117689.0,27770787
mat3 transpose,cgmath,,98585723.0,28051300
