group,function,value,sample_time_nanos,iteration_count
mat3 transpose,glam,,983561.0,498316
mat3 transpose,glam,,1966798.0,996632
mat3 transpose,glam,,2951528.0,1494948
mat3 transpose,glam,,4145564.0,1993264
mat3 transpose,glam,,4998990.0,2491580
mat3 transpose,glam,,5902110.0,2989896
mat3 transpose,glam,,7013189.0,3488212
mat3 transpose,glam,,8136464.0,3986528
mat3 transpose,glam,,8871687.0,4484844
mat3 transpose,glam,,9878034.0,4983160
mat3 transpose,glam,,10840050.0,5481476
mat3 transpose,glam,,11818362.0,5979792
mat3 transpose,glam,,12823205.0,6478108
mat3 transpose,glam,,13806903.0,6976424
mat3 transpose,glam,,14770899.0,7474740
mat3 transpose,glam,,15756012.0,7973056
mat3 transpose,glam,,16737306.0,8471372
mat3 transpose,glam,,17741080.0,8969688
mat3 transpose,glam,,18745078.0,9468004
mat3 transpose,glam,,19900689.0,9966320
mat3 transpose,glam,,20693650.0,10464636
mat3 transpose,glam,,21674191.0,10962952
mat3 transpose,glam,,22677949.0,11461268
mat3 transpose,glam,,23678607.0,11959584
mat3 transpose,glam,,24598969.0,12457900
mat3 transpose,glam,,25606002.0,12956216
mat3 transpose,glam,,26614352.0,13454532
mat3 transpose,glam,,27609294.0,13952848
mat3 transpose,glam,,28563578.0,14451164
mat3 transpose,glam,,29538955.0,14949480
mat3 transpose,glam,,30585395.0,15447796
mat3 transpose,glam,,31508694.0,15946112
mat3 transpose,glam,,32762281.0,16444428
mat3 transpose,glam,,33561485.0,16942744
mat3 transpose,glam,,34477350.0,17441060
mat3 transpose,glam,,35461027.0,17939376
mat3 transpose,glam,,36513511.0,18437692
mat3 transpose,glam,,37425752.0,18936008
mat3 transpose,glam,,38386865.0,19434324
mat3 transpose,glam,,39458706.0,19932640
mat3 transpose,glam,,40454115.0,20430956
mat3 transpose,glam,,41442417.0,20929272
mat3 transpose,glam,,42363832.0,21427588
mat3 transpose,glam,,43331706.0,21925904
mat3 transpose,glam,,44558989.0,22424220
mat3 transpose,glam,,45304249.0,22922536
mat3 transpose,glam,,46337899.0,23420852
mat3 transpose,glam,,47575492.0,23919168
mat3 transpose,glam,,48305536.0,24417484
mat3 transpose,glam,,49224965.0,24915800
mat3 transpose,glam,,50251631.0,25414116
mat3 transpose,glam,,51194908.0,25912432
mat3 transpose,glam,,52257268.0,26410748
mat3 transpose,glam,,53159215.0,26909064
mat3 transpose,glam,,54214557.0,27407380
mat3 transpose,glam,,55162166.0,27905696
mat3 transpose,glam,,56134669.0,28404012
mat3 transpose,glam,,57184113.0,28902328
mat3 transpose,glam,,58075678.0,29400644
mat3 transpose,glam,,59650510.0,29898960
mat3 transpose,glam,,60290209.0,30397276
mat3 transpose,glam,,61223818.0,30895592
mat3 transpose,glam,,62079683.0,31393908
mat3 transpose,glam,,63041225.0,31892224
mat3 transpose,glam,,64083635.0,32390540
mat3 transpose,glam,,64999191.0,32888856
mat3 transpose,glam,,65984076.0,33387172
mat3 transpose,glam,,66994984.0,33885488
mat3 transpose,glam,,68391316.0,34383804
mat3 transpose,glam,,68962703.0,34882120
mat3 transpose,glam,,69956433.0,35380436
mat3 transpose,glam,,71081855.0,35878752
mat3 transpose,glam,,71977686.0,36377068
mat3 transpose,glam,,72883768.0,36875384
mat3 transpose,glam,,73932534.0,37373700
mat3 transpose,glam,,75023083.0,37872016
mat3 transpose,glam,,76367188.0,38370332
mat3 transpose,glam,,76849132.0,38868648
mat3 transpose,glam,,77861434.0,39366964
mat3 transpose,glam,,78813424.0,39865280
mat3 transpose,glam,,79792634.0,40363596
mat3 transpose,glam,,80812815.0,40861912
mat3 transpose,glam,,82008620.0,41360228
mat3 transpose,glam,,82741922.0,41858544
mat3 transpose,glam,,84115666.0,42356860
mat3 transpose,glam,,85241886.0,42855176
mat3 transpose,glam,,85694561.0,43353492
mat3 transpose,glam,,86773462.0,43851808
mat3 transpose,glam,,87742974.0,44350124
mat3 transpose,glam,,88689952.0,44848440
mat3 transpose,glam,,89672989.0,45346756
mat3 transpose,glam,,91255210.0,45845072
mat3 transpose,glam,,91615403.0,46343388
mat3 transpose,glam,,92630205.0,46841704
mat3 transpose,glam,,93575061.0,47340020
mat3 transpose,glam,,94741216.0,47838336
mat3 transpose,glam,,95767259.0,48336652
mat3 transpose,glam,,96822953.0,48834968
mat3 transpose,glam,,97912815.0,49333284
mat3 transpose,glam,,98720586.0,49831600
