group,function,value,sample_time_nanos,iteration_count
mat3 transpose,nalgebra,,984285.0,109889
mat3 transpose,nalgebra,,1960771.0,219778
mat3 transpose,nalgebra,,2966033.0,329667
mat3 transpose,nalgebra,,4066889.0,439556
mat3 transpose,nalgebra,,4926605.0,549445
mat3 transpose,nalgebra,,5883446.0,659334
mat3 transpose,nalgebra,,6958071.0,769223
mat3 transpose,nalgebra,,7848288.0,879112
mat3 transpose,nalgebra,,9170485.0,989001
mat3 transpose,nalgebra,,9900032.0,1098890
mat3 transpose,nalgebra,,10867579.0,1208779
mat3 transpose,nalgebra,,11796010.0,1318668
mat3 transpose,nalgebra,,12796694.0,1428557
mat3 transpose,nalgebra,,13799774.0,1538446
mat3 transpose,nalgebra,,14779267.0,1648335
mat3 transpose,nalgebra,,15926929.0,1758224
mat3 transpose,nalgebra,,16758589.0,1868113
mat3 transpose,nalgebra,,17703412.0,1978002
mat3 transpose,nalgebra,,18707464.0,2087891
mat3 transpose,nalgebra,,19684985.0,2197780
mat3 transpose,nalgebra,,20670899.0,2307669
mat3 transpose,nalgebra,,21648827.0,2417558
mat3 transpose,nalgebra,,22633096.0,2527447
mat3 transpose,nalgebra,,23632417.0,2637336
mat3 transpose,nalgebra,,24600937.0,2747225
mat3 transpose,nalgebra,,25742878.0,2857114
mat3 transpose,nalgebra,,26837170.0,2967003
mat3 transpose,nalgebra,,27568062.0,3076892
mat3 transpose,nalgebra,,28500032.0,3186781
mat3 transpose,nalgebra,,29482243.0,3296670
mat3 transpose,nalgebra,,30481950.0,3406559
mat3 transpose,nalgebra,,31465006.0,3516448
mat3 transpose,nalgebra,,32622601.0,3626337
mat3 transpose,nalgebra,,33471494.0,3736226
mat3 transpose,nalgebra,,34554366.0,3846115
mat3 transpose,nalgebra,,35472498.0,3956004
mat3 transpose,nalgebra,,36390773.0,4065893
mat3 transpose,nalgebra,,37370277.0,4175782
mat3 transpose,nalgebra,,39322836.0,4285671
mat3 transpose,nalgebra,,41439051.0,4395560
mat3 transpose,nalgebra,,42186977.0,4505449
mat3 transpose,nalgebra,,42724420.0,4615338
mat3 transpose,nalgebra,,45805212.0,4725227
mat3 transpose,nalgebra,,44143286.0,4835116
mat3 transpose,nalgebra,,44186923.0,4945005
mat3 transpose,nalgebra,,45185414.0,5054894
mat3 transpose,nalgebra,,46173307.0,5164783
mat3 transpose,nalgebra,,47171769.0,5274672
mat3 transpose,nalgebra,,49250266.0,5384561
mat3 transpose,nalgebra,,53698923.0,5494450
mat3 transpose,nalgebra,,53889766.0,5604339
mat3 transpose,nalgebra,,52232106.0,5714228
mat3 transpose,nalgebra,,52834528.0,5824117
mat3 transpose,nalgebra,,53172901.0,5934006
mat3 transpose,nalgebra,,53994576.0,6043895
mat3 transpose,nalgebra,,55029809.0,6153784
mat3 transpose,nalgebra,,56149953.0,6263673
mat3 transpose,nalgebra,,56962753.0,6373562
mat3 transpose,nalgebra,,57918438.0,6483451
mat3 transpose,nalgebra,,58922105.0,6593340
mat3 transpose,nalgebra,,59864326.0,6703229
mat3 transpose,nalgebra,,60870679.0,6813118
mat3 transpose,nalgebra,,61914143.0,6923007
mat3 transpose,nalgebra,,62857608.0,7032896
mat3 transpose,nalgebra,,63785719.0,7142785
mat3 transpose,nalgebra,,64811083.0,7252674
mat3 transpose,nalgebra,,65723393.0,7362563
mat3 transpose,nalgebra,,66740751.0,7472452
mat3 transpose,nalgebra,,67756794.0,7582341
mat3 transpose,nalgebra,,68689822.0,7692230
mat3 transpose,nalgebra,,69689035.0,7802119
mat3 transpose,nalgebra,,70885835.0,7912008
mat3 transpose,nalgebra,,71687448.0,8021897
mat3 transpose,nalgebra,,72635351.0,8131786
mat3 transpose,nalgebra,,73635470.0,8241675
mat3 transpose,nalgebra,,74593863.0,8351564
mat3 transpose,nalgebra,,75589588.0,8461453
mat3 transpose,nalgebra,,76534683.0,8571342
mat3 transpose,nalgebra,,77602632.0,8681231
mat3 transpose,nalgebra,,78523613.0,8791120
mat3 transpose,nalgebra,,79515155.0,8901009
mat3 transpose,nalgebra,,80474571.0,9010898
mat3 transpose,nalgebra,,81444976.0,9120787
mat3 transpose,nalgebra,,83378298.0,9230676
mat3 transpose,nalgebra,,83592891.0,9340565
mat3 transpose,nalgebra,,84504847.0,9450454
mat3 transpose,nalgebra,,85599987.0,9560343
mat3 transpose,nalgebra,,86414597.0,9670232
mat3 transpose,nalgebra,,87369080.0,9780121
mat3 transpose,nalgebra,,88372416.0,9890010
mat3 transpose,nalgebra,,89350848.0,9999899
mat3 transpose,nalgebra,,90299094.0,10109788
mat3 transpose,nalgebra,,91302333.0,10219677
mat3 transpose,nalgebra,,92264007.0,10329566
mat3 transpose,nalgebra,,93248564.0,10439455
mat3 transpose,nalgebra,,94404127.0,10549344
mat3 transpose,nalgebra,,95311859.0,10659233
mat3 transpose,nalgebra,,96197433.0,10769122
mat3 transpose,nalgebra,,97198111.0,10879011
mat3 transpose,nalgebra,,98202378.0,10988900
