group,function,value,sample_time_nanos,iteration_count
quat conjugate,cgmath,,977138.0,556739
quat conjugate,cgmath,,1975885.0,1113478
quat conjugate,cgmath,,2929120.0,1670217
quat conjugate,cgmath,,4233629.0,2226956
quat conjugate,cgmath,,4914686.0,2783695
quat conjugate,cgmath,,5882997.0,3340434
quat conjugate,cgmath,,7179756.0,3897173
quat conjugate,cgmath,,7887446.0,4453912
quat conjugate,cgmath,,8839920.0,5010651
quat conjugate,cgmath,,9817625.0,5567390
quat conjugate,cgmath,,10772073.0,6124129
quat conjugate,cgmath,,11749505.0,6680868
quat conjugate,cgmath,,12715103.0,7237607
quat conjugate,cgmath,,13722899.0,7794346
quat conjugate,cgmath,,14686171.0,8351085
quat conjugate,cgmath,,15742405.0,8907824
quat conjugate,cgmath,,16662186.0,9464563
quat conjugate,cgmath,,17607423.0,10021302
quat conjugate,cgmath,,18611674.0,10578041
quat conjugate,cgmath,,19578338.0,11134780
quat conjugate,cgmath,,20553495.0,11691519
quat conjugate,cgmath,,21606630.0,12248258
quat conjugate,cgmath,,22502148.0,12804997
quat conjugate,cgmath,,23499740.0,13361736
quat conjugate,cgmath,,24443181.0,13918475
quat conjugate,cgmath,,25495268.0,14475214
quat conjugate,cgmath,,26441283.0,15031953
quat conjugate,cgmath,,27405030.0,15588692
quat conjugate,cgmath,,28578249.0,16145431
quat conjugate,cgmath,,29576491.0,16702170
quat conjugate,cgmath,,30334064.0,17258909
quat conjugate,cgmath,,31362688.0,17815648
quat conjugate,cgmath,,32329158.0,18372387
quat conjugate,cgmath,,33368902.0,18929126
quat conjugate,cgmath,,34810370.0,19485865
quat conjugate,cgmath,,35306748.0,20042604
quat conjugate,cgmath,,36239143.0,20599343
quat conjugate,cgmath,,37217292.0,21156082
quat conjugate,cgmath,,38222958.0,21712821
quat conjugate,cgmath,,39495241.0,22269560
quat conjugate,cgmath,,40272155.0,22826299
quat conjugate,cgmath,,41273109.0,23383038
quat conjugate,cgmath,,42103979.0,23939777
quat conjugate,cgmath,,43070333.0,24496516
quat conjugate,cgmath,,44063640.0,25053255
quat conjugate,cgmath,,45076694.0,25609994
quat conjugate,cgmath,,46101641.0,26166733
quat conjugate,cgmath,,47032094.0,26723472
quat conjugate,cgmath,,47957927.0,27280211
quat conjugate,cgmath,,48982222.0,27836950
quat conjugate,cgmath,,49935065.0,28393689
quat conjugate,cgmath,,50965673.0,28950428
quat conjugate,cgmath,,52093367.0,29507167
quat conjugate,cgmath,,53044129.0,30063906
quat conjugate,cgmath,,53820556.0,30620645
quat conjugate,cgmath,,54839769.0,31177384
quat conjugate,cgmath,,55954041.0,31734123
quat conjugate,cgmath,,56795658.0,32290862
quat conjugate,cgmath,,57721693.0,32847601
quat conjugate,cgmath,,58754827.0,33404340
quat conjugate,cgmath,,59760694.0,33961079
quat conjugate,cgmath,,60759748.0,34517818
quat conjugate,cgmath,,61657284.0,35074557
quat conjugate,cgmath,,62655505.0,35631296
quat conjugate,cgmath,,63638386.0,36188035
quat conjugate,cgmath,,64595641.0,36744774
quat conjugate,cgmath,,65878709.0,37301513
quat conjugate,cgmath,,66570079.0,37858252
quat conjugate,cgmath,,84225412.0,38414991
quat conjugate,cgmath,,74961673.0,38971730
quat conjugate,cgmath,,69511235.0,39528469
quat conjugate,cgmath,,70562678.0,40085208
quat conjugate,cgmath,,71538638.0,40641947
quat conjugate,cgmath,,72403551.0,41198686
quat conjugate,cgmath,,73541750.0,41755425
quat conjugate,cgmath,,74387619.0,42312164
quat conjugate,cgmath,,75617134.0,42868903
quat conjugate,cgmath,,76571586.0,43425642
quat conjugate,cgmath,,77383160.0,43982381
quat conjugate,cgmath,,78278683.0,44539120
quat conjugate,cgmath,,79334200.0,45095859
quat conjugate,cgmath,,96268391.0,45652598
quat conjugate,cgmath,,88368754.0,46209337
quat conjugate,cgmath,,82200858.0,46766076
quat conjugate,cgmath,,83373040.0,47322815
quat conjugate,cgmath,,84187243.0,47879554
quat conjugate,cgmath,,85588017.0,48436293
quat conjugate,cgmath,,86162288.0,48993032
quat conjugate,cgmath,,87143960.0,49549771
quat conjugate,cgmath,,88138565.0,50106510
quat conjugate,cgmath,,89044448.0,50663249
quat conjugate,cgmath,,90107212.0,51219988
quat conjugate,cgmath,,91126628.0,51776727
quat conjugate,cgmath,,92316301.0,52333466
quat conjugate,cgmath,,92999724.0,52890205
quat conjugate,cgmath,,94274647.0,53446944
quat conjugate,cgmath,,97725304.0,54003683
quat conjugate,cgmath,,98053407.0,54560422
quat conjugate,cgmath,,99192295.0,55117161
quat conjugate,cgmath,,99911137.0,55673900
