group,function,value,sample_time_nanos,iteration_count
quat conjugate,glam,,1034860.0,1114360
quat conjugate,glam,,1969891.0,2228720
quat conjugate,glam,,2976334.0,3343080
quat conjugate,glam,,4165134.0,4457440
quat conjugate,glam,,4941962.0,5571800
quat conjugate,glam,,5907773.0,6686160
quat conjugate,glam,,7302977.0,7800520
quat conjugate,glam,,7921162.0,8914880
quat conjugate,glam,,8882145.0,10029240
quat conjugate,glam,,9866378.0,11143600
quat conjugate,glam,,10894431.0,12257960
quat conjugate,glam,,11834523.0,13372320
quat conjugate,glam,,12818252.0,14486680
quat conjugate,glam,,13838476.0,15601040
quat conjugate,glam,,14787758.0,16715400
quat conjugate,glam,,15772696.0,17829760
quat conjugate,glam,,16766135.0,18944120
quat conjugate,glam,,17781125.0,20058480
quat conjugate,glam,,18725323.0,21172840
quat conjugate,glam,,19754573.0,22287200
quat conjugate,glam,,20713476.0,23401560
quat conjugate,glam,,21737962.0,24515920
quat conjugate,glam,,22858368.0,25630280
quat conjugate,glam,,23750997.0,26744640
quat conjugate,glam,,24668826.0,27859000
quat conjugate,glam,,25617075.0,28973360
quat conjugate,glam,,26631470.0,30087720
quat conjugate,glam,,27654527.0,31202080
quat conjugate,glam,,28567439.0,32316440
quat conjugate,glam,,29635875.0,33430800
quat conjugate,glam,,30577805.0,34545160
quat conjugate,glam,,31562276.0,35659520
quat conjugate,glam,,32601542.0,36773880
quat conjugate,glam,,33538230.0,37888240
quat conjugate,glam,,34882604.0,39002600
quat conjugate,glam,,35548090.0,40116960
quat conjugate,glam,,36512478.0,41231320
quat conjugate,glam,,37478014.0,42345680
quat conjugate,glam,,38470878.0,43460040
quat conjugate,glam,,39506902.0,44574400
quat conjugate,glam,,40522203.0,45688760
quat conjugate,glam,,41456204.0,46803120
quat conjugate,glam,,42379806.0,47917480
quat conjugate,glam,,43374511.0,49031840
quat conjugate,glam,,44427078.0,50146200
quat conjugate,glam,,45601156.0,51260560
quat conjugate,glam,,46367337.0,52374920
quat conjugate,glam,,47363956.0,53489280
quat conjugate,glam,,48718501.0,54603640
quat conjugate,glam,,49321726.0,55718000
quat conjugate,glam,,50309635.0,56832360
quat conjugate,glam,,51285244.0,57946720
quat conjugate,glam,,52282365.0,59061080
quat conjugate,glam,,53311565.0,60175440
quat conjugate,glam,,54361355.0,61289800
quat conjugate,glam,,55325091.0,62404160
quat conjugate,glam,,56287086.0,63518520
quat conjugate,glam,,57259848.0,64632880
quat conjugate,glam,,58151577.0,65747240
quat conjugate,glam,,59614469.0,66861600
quat conjugate,glam,,60385738.0,67975960
quat conjugate,glam,,61143609.0,69090320
quat conjugate,glam,,62144239.0,70204680
quat conjugate,glam,,63134214.0,71319040
quat conjugate,glam,,64091964.0,72433400
quat conjugate,glam,,65159337.0,73547760
quat conjugate,glam,,66091942.0,74662120
quat conjugate,glam,,67114436.0,75776480
quat conjugate,glam,,68383401.0,76890840
quat conjugate,glam,,69185601.0,78005200
quat conjugate,glam,,70160364.0,79119560
quat conjugate,glam,,71080353.0,80233920
quat conjugate,glam,,72297216.0,81348280
quat conjugate,glam,,72956345.0,82462640
quat conjugate,glam,,74064900.0,83577000
quat conjugate,glam,,74995607.0,84691360
quat conjugate,glam,,75924259.0,85805720
quat conjugate,glam,,77365542.0,86920080
quat conjugate,glam,,77927566.0,88034440
quat conjugate,glam,,78955658.0,89148800
quat conjugate,glam,,79963692.0,90263160
quat conjugate,glam,,80897116.0,91377520
quat conjugate,glam,,82099468.0,92491880
quat conjugate,glam,,83001922.0,93606240
quat conjugate,glam,,85178176.0,94720600
quat conjugate,glam,,84922518.0,95834960
quat conjugate,glam,,85866250.0,96949320
quat conjugate,glam,,86866667.0,98063680
quat conjugate,glam,,87750476.0,99178040
quat conjugate,glam,,88782753.0,100292400
quat conjugate,glam,,89819640.0,101406760
quat conjugate,glam,,91222118.0,102521120
quat conjugate,glam,,92003189.0,103635480
quat conjugate,glam,,92815781.0,104749840
quat conjugate,glam,,93697940.0,105864200
quat conjugate,glam,,94749342.0,106978560
quat conjugate,glam,,95726626.0,108092920
quat conjugate,glam,,97222398.0,109207280
quat conjugate,glam,,97680673.0,110321640
quat conjugate,glam,,98591777.0,111436000
