group,function,value,sample_time_nanos,iteration_count
quat conjugate,glam,,987226.0,1112579
quat conjugate,glam,,1974488.0,2225158
quat conjugate,glam,,2983723.0,3337737
quat conjugate,glam,,4192494.0,4450316
quat conjugate,glam,,4938932.0,5562895
quat conjugate,glam,,5965733.0,6675474
quat conjugate,glam,,7289809.0,7788053
quat conjugate,glam,,7925349.0,8900632
quat conjugate,glam,,8969856.0,10013211
quat conjugate,glam,,9914373.0,11125790
quat conjugate,glam,,10948263.0,12238369
quat conjugate,glam,,11854739.0,13350948
quat conjugate,glam,,12855192.0,14463527
quat conjugate,glam,,13842695.0,15576106
quat conjugate,glam,,14830788.0,16688685
quat conjugate,glam,,15844348.0,17801264
quat conjugate,glam,,17287336.0,18913843
quat conjugate,glam,,17843448.0,20026422
quat conjugate,glam,,18803866.0,21139001
quat conjugate,glam,,19784740.0,22251580
quat conjugate,glam,,20758420.0,23364159
quat conjugate,glam,,21787258.0,24476738
quat conjugate,glam,,22740015.0,25589317
quat conjugate,glam,,23739722.0,26701896
quat conjugate,glam,,24739172.0,27814475
quat conjugate,glam,,25749264.0,28927054
quat conjugate,glam,,26715121.0,30039633
quat conjugate,glam,,27686773.0,31152212
quat conjugate,glam,,28864233.0,32264791
quat conjugate,glam,,29690991.0,33377370
quat conjugate,glam,,30658981.0,34489949
quat conjugate,glam,,31648406.0,35602528
quat conjugate,glam,,32693368.0,36715107
quat conjugate,glam,,33618740.0,37827686
quat conjugate,glam,,34999865.0,38940265
quat conjugate,glam,,35609229.0,40052844
quat conjugate,glam,,36575482.0,41165423
quat conjugate,glam,,37782773.0,42278002
quat conjugate,glam,,38745717.0,43390581
quat conjugate,glam,,39571686.0,44503160
quat conjugate,glam,,40635277.0,45615739
quat conjugate,glam,,41751728.0,46728318
quat conjugate,glam,,42579574.0,47840897
quat conjugate,glam,,43558563.0,48953476
quat conjugate,glam,,44600511.0,50066055
quat conjugate,glam,,45536060.0,51178634
quat conjugate,glam,,46501590.0,52291213
quat conjugate,glam,,47572539.0,53403792
quat conjugate,glam,,49002462.0,54516371
quat conjugate,glam,,49484615.0,55628950
quat conjugate,glam,,50453921.0,56741529
quat conjugate,glam,,51489441.0,57854108
quat conjugate,glam,,52461404.0,58966687
quat conjugate,glam,,53482546.0,60079266
quat conjugate,glam,,54627199.0,61191845
quat conjugate,glam,,55485610.0,62304424
quat conjugate,glam,,56454164.0,63417003
quat conjugate,glam,,57356652.0,64529582
quat conjugate,glam,,58422963.0,65642161
quat conjugate,glam,,59730534.0,66754740
quat conjugate,glam,,60445637.0,67867319
quat conjugate,glam,,61350327.0,68979898
quat conjugate,glam,,62375320.0,70092477
quat conjugate,glam,,63457835.0,71205056
quat conjugate,glam,,64388538.0,72317635
quat conjugate,glam,,65313156.0,73430214
quat conjugate,glam,,66342146.0,74542793
quat conjugate,glam,,67610564.0,75655372
quat conjugate,glam,,68678453.0,76767951
quat conjugate,glam,,69400918.0,77880530
quat conjugate,glam,,70330309.0,78993109
quat conjugate,glam,,71210898.0,80105688
quat conjugate,glam,,72206221.0,81218267
quat conjugate,glam,,73348717.0,82330846
quat conjugate,glam,,74280304.0,83443425
quat conjugate,glam,,75249357.0,84556004
quat conjugate,glam,,76660944.0,85668583
quat conjugate,glam,,77362146.0,86781162
quat conjugate,glam,,78564094.0,87893741
quat conjugate,glam,,79411833.0,89006320
quat conjugate,glam,,80154797.0,90118899
quat conjugate,glam,,85535403.0,91231478
quat conjugate,glam,,123414088.0,92344057
quat conjugate,glam,,125114498.0,93456636
quat conjugate,glam,,126319077.0,94569215
quat conjugate,glam,,127741534.0,95681794
quat conjugate,glam,,129600548.0,96794373
quat conjugate,glam,,130833631.0,97906952
quat conjugate,glam,,132592938.0,99019531
quat conjugate,glam,,127487727.0,100132110
quat conjugate,glam,,90114719.0,101244689
quat conjugate,glam,,91083922.0,102357268
quat conjugate,glam,,91986120.0,103469847
quat conjugate,glam,,93638614.0,104582426
quat conjugate,glam,,94129354.0,105695005
quat conjugate,glam,,95011799.0,106807584
quat conjugate,glam,,96138763.0,107920163
quat conjugate,glam,,97165697.0,109032742
quat conjugate,glam,,98040206.0,110145321
quat conjugate,glam,,99060286.0,111257900
