group,function,value,sample_time_nanos,iteration_count
quat mul quat,cgmath,,7723.0,1436
quat mul quat,cgmath,,15396.0,2872
quat mul quat,cgmath,,24468.0,4308
quat mul quat,cgmath,,41683.0,5744
quat mul quat,cgmath,,38498.0,7180
quat mul quat,cgmath,,46095.0,8616
quat mul quat,cgmath,,55350.0,10052
quat mul quat,cgmath,,61537.0,11488
quat mul quat,cgmath,,69204.0,12924
quat mul quat,cgmath,,76941.0,14360
quat mul quat,cgmath,,84620.0,15796
quat mul quat,cgmath,,92133.0,17232
quat mul quat,cgmath,,99956.0,18668
quat mul quat,cgmath,,107494.0,20104
quat mul quat,cgmath,,115183.0,21540
quat mul quat,cgmath,,123051.0,22976
quat mul quat,cgmath,,130776.0,24412
quat mul quat,cgmath,,138405.0,25848
quat mul quat,cgmath,,146105.0,27284
quat mul quat,cgmath,,153815.0,28720
quat mul quat,cgmath,,161514.0,30156
quat mul quat,cgmath,,169107.0,31592
quat mul quat,cgmath,,176861.0,33028
quat mul quat,cgmath,,184315.0,34464
quat mul quat,cgmath,,192260.0,35900
quat mul quat,cgmath,,199934.0,37336
quat mul quat,cgmath,,207473.0,38772
quat mul quat,cgmath,,215296.0,40208
quat mul quat,cgmath,,222617.0,41644
quat mul quat,cgmath,,230699.0,43080
quat mul quat,cgmath,,238273.0,44516
quat mul quat,cgmath,,245938.0,45952
quat mul quat,cgmath,,253651.0,47388
quat mul quat,cgmath,,281431.0,48824
quat mul quat,cgmath,,271147.0,50260
quat mul quat,cgmath,,278381.0,51696
quat mul quat,cgmath,,284482.0,53132
quat mul quat,cgmath,,291663.0,54568
quat mul quat,cgmath,,299376.0,56004
quat mul quat,cgmath,,306772.0,57440
quat mul quat,cgmath,,315119.0,58876
quat mul quat,cgmath,,323013.0,60312
quat mul quat,cgmath,,330268.0,61748
quat mul quat,cgmath,,338318.0,63184
quat mul quat,cgmath,,345524.0,64620
quat mul quat,cgmath,,353719.0,66056
quat mul quat,cgmath,,361147.0,67492
quat mul quat,cgmath,,368058.0,68928
quat mul quat,cgmath,,417926.0,70364
quat mul quat,cgmath,,383402.0,71800
quat mul quat,cgmath,,391343.0,73236
quat mul quat,cgmath,,399149.0,74672
quat mul quat,cgmath,,406745.0,76108
quat mul quat,cgmath,,414406.0,77544
quat mul quat,cgmath,,422154.0,78980
quat mul quat,cgmath,,430532.0,80416
quat mul quat,cgmath,,437998.0,81852
quat mul quat,cgmath,,487362.0,83288
quat mul quat,cgmath,,453695.0,84724
quat mul quat,cgmath,,483555.0,86160
quat mul quat,cgmath,,468997.0,87596
quat mul quat,cgmath,,476962.0,89032
quat mul quat,cgmath,,484342.0,90468
quat mul quat,cgmath,,493423.0,91904
quat mul quat,cgmath,,501299.0,93340
quat mul quat,cgmath,,506167.0,94776
quat mul quat,cgmath,,516761.0,96212
quat mul quat,cgmath,,522624.0,97648
quat mul quat,cgmath,,530345.0,99084
quat mul quat,cgmath,,557726.0,100520
quat mul quat,cgmath,,874202.0,101956
quat mul quat,cgmath,,889830.0,103392
quat mul quat,cgmath,,899161.0,104828
quat mul quat,cgmath,,911140.0,106264
quat mul quat,cgmath,,1027916.0,107700
quat mul quat,cgmath,,607781.0,109136
quat mul quat,cgmath,,618249.0,110572
quat mul quat,cgmath,,627176.0,112008
quat mul quat,cgmath,,633036.0,113444
quat mul quat,cgmath,,643793.0,114880
quat mul quat,cgmath,,652810.0,116316
quat mul quat,cgmath,,630400.0,117752
quat mul quat,cgmath,,637978.0,119188
quat mul quat,cgmath,,645604.0,120624
quat mul quat,cgmath,,653248.0,122060
quat mul quat,cgmath,,663229.0,123496
quat mul quat,cgmath,,667079.0,124932
quat mul quat,cgmath,,687211.0,126368
quat mul quat,cgmath,,683424.0,127804
quat mul quat,cgmath,,691840.0,129240
quat mul quat,cgmath,,698831.0,130676
quat mul quat,cgmath,,709726.0,132112
quat mul quat,cgmath,,715878.0,133548
quat mul quat,cgmath,,723546.0,134984
quat mul quat,cgmath,,732195.0,136420
quat mul quat,cgmath,,736071.0,137856
quat mul quat,cgmath,,745524.0,139292
quat mul quat,cgmath,,752075.0,140728
quat mul quat,cgmath,,759698.0,142164
quat mul quat,cgmath,,767112.0,143600
