group,function,value,sample_time_nanos,iteration_count
quat transform vec3,cgmath,,7781.0,1179
quat transform vec3,cgmath,,15549.0,2358
quat transform vec3,cgmath,,23311.0,3537
quat transform vec3,cgmath,,31040.0,4716
quat transform vec3,cgmath,,38801.0,5895
quat transform vec3,cgmath,,46558.0,7074
quat transform vec3,cgmath,,53564.0,8253
quat transform vec3,cgmath,,62066.0,9432
quat transform vec3,cgmath,,69801.0,10611
quat transform vec3,cgmath,,77566.0,11790
quat transform vec3,cgmath,,85289.0,12969
quat transform vec3,cgmath,,93073.0,14148
quat transform vec3,cgmath,,100817.0,15327
quat transform vec3,cgmath,,108573.0,16506
quat transform vec3,cgmath,,116285.0,17685
quat transform vec3,cgmath,,124059.0,18864
quat transform vec3,cgmath,,131810.0,20043
quat transform vec3,cgmath,,139554.0,21222
quat transform vec3,cgmath,,147308.0,22401
quat transform vec3,cgmath,,155058.0,23580
quat transform vec3,cgmath,,162845.0,24759
quat transform vec3,cgmath,,170583.0,25938
quat transform vec3,cgmath,,178343.0,27117
quat transform vec3,cgmath,,186039.0,28296
quat transform vec3,cgmath,,193857.0,29475
quat transform vec3,cgmath,,201578.0,30654
quat transform vec3,cgmath,,209355.0,31833
quat transform vec3,cgmath,,217079.0,33012
quat transform vec3,cgmath,,224843.0,34191
quat transform vec3,cgmath,,232538.0,35370
quat transform vec3,cgmath,,240317.0,36549
quat transform vec3,cgmath,,248084.0,37728
quat transform vec3,cgmath,,255863.0,38907
quat transform vec3,cgmath,,263616.0,40086
quat transform vec3,cgmath,,271367.0,41265
quat transform vec3,cgmath,,279109.0,42444
quat transform vec3,cgmath,,286825.0,43623
quat transform vec3,cgmath,,294586.0,44802
quat transform vec3,cgmath,,303270.0,45981
quat transform vec3,cgmath,,310101.0,47160
quat transform vec3,cgmath,,313402.0,48339
quat transform vec3,cgmath,,325605.0,49518
quat transform vec3,cgmath,,332007.0,50697
quat transform vec3,cgmath,,342393.0,51876
quat transform vec3,cgmath,,367280.0,53055
quat transform vec3,cgmath,,356639.0,54234
quat transform vec3,cgmath,,364335.0,55413
quat transform vec3,cgmath,,372060.0,56592
quat transform vec3,cgmath,,379857.0,57771
quat transform vec3,cgmath,,387681.0,58950
quat transform vec3,cgmath,,395337.0,60129
quat transform vec3,cgmath,,403137.0,61308
quat transform vec3,cgmath,,410881.0,62487
quat transform vec3,cgmath,,418637.0,63666
quat transform vec3,cgmath,,426383.0,64845
quat transform vec3,cgmath,,434122.0,66024
quat transform vec3,cgmath,,441659.0,67203
quat transform vec3,cgmath,,449607.0,68382
quat transform vec3,cgmath,,454587.0,69561
quat transform vec3,cgmath,,466251.0,70740
quat transform vec3,cgmath,,472888.0,71919
quat transform vec3,cgmath,,480628.0,73098
quat transform vec3,cgmath,,488335.0,74277
quat transform vec3,cgmath,,496135.0,75456
quat transform vec3,cgmath,,503869.0,76635
quat transform vec3,cgmath,,511647.0,77814
quat transform vec3,cgmath,,519446.0,78993
quat transform vec3,cgmath,,527146.0,80172
quat transform vec3,cgmath,,534860.0,81351
quat transform vec3,cgmath,,542612.0,82530
quat transform vec3,cgmath,,566646.0,83709
quat transform vec3,cgmath,,558160.0,84888
quat transform vec3,cgmath,,565864.0,86067
quat transform vec3,cgmath,,597080.0,87246
quat transform vec3,cgmath,,581410.0,88425
quat transform vec3,cgmath,,589188.0,89604
quat transform vec3,cgmath,,596901.0,90783
quat transform vec3,cgmath,,604656.0,91962
quat transform vec3,cgmath,,612424.0,93141
quat transform vec3,cgmath,,620221.0,94320
quat transform vec3,cgmath,,627909.0,95499
quat transform vec3,cgmath,,634140.0,96678
quat transform vec3,cgmath,,643430.0,97857
quat transform vec3,cgmath,,651185.0,99036
quat transform vec3,cgmath,,658897.0,100215
quat transform vec3,cgmath,,666852.0,101394
quat transform vec3,cgmath,,669171.0,102573
quat transform vec3,cgmath,,682245.0,103752
quat transform vec3,cgmath,,689894.0,104931
quat transform vec3,cgmath,,694698.0,106110
quat transform vec3,cgmath,,705427.0,107289
quat transform vec3,cgmath,,713127.0,108468
quat transform vec3,cgmath,,720932.0,109647
quat transform vec3,cgmath,,728728.0,110826
quat transform vec3,cgmath,,736378.0,112005
quat transform vec3,cgmath,,744249.0,113184
quat transform vec3,cgmath,,751959.0,114363
quat transform vec3,cgmath,,759675.0,115542
quat transform vec3,cgmath,,760380.0,116721
quat transform vec3,cgmath,,774517.0,117900
