group,function,value,sample_time_nanos,iteration_count
quat transform vec3,nalgebra,,7857.0,1127
quat transform vec3,nalgebra,,15702.0,2254
quat transform vec3,nalgebra,,23539.0,3381
quat transform vec3,nalgebra,,32272.0,4508
quat transform vec3,nalgebra,,39183.0,5635
quat transform vec3,nalgebra,,46993.0,6762
quat transform vec3,nalgebra,,54842.0,7889
quat transform vec3,nalgebra,,62670.0,9016
quat transform vec3,nalgebra,,68481.0,10143
quat transform vec3,nalgebra,,78320.0,11270
quat transform vec3,nalgebra,,86137.0,12397
quat transform vec3,nalgebra,,93968.0,13524
quat transform vec3,nalgebra,,101803.0,14651
quat transform vec3,nalgebra,,109647.0,15778
quat transform vec3,nalgebra,,117425.0,16905
quat transform vec3,nalgebra,,125272.0,18032
quat transform vec3,nalgebra,,133087.0,19159
quat transform vec3,nalgebra,,140920.0,20286
quat transform vec3,nalgebra,,148753.0,21413
quat transform vec3,nalgebra,,156596.0,22540
quat transform vec3,nalgebra,,164456.0,23667
quat transform vec3,nalgebra,,172264.0,24794
quat transform vec3,nalgebra,,180096.0,25921
quat transform vec3,nalgebra,,187862.0,27048
quat transform vec3,nalgebra,,195685.0,28175
quat transform vec3,nalgebra,,203578.0,29302
quat transform vec3,nalgebra,,211319.0,30429
quat transform vec3,nalgebra,,219195.0,31556
quat transform vec3,nalgebra,,228587.0,32683
quat transform vec3,nalgebra,,234790.0,33810
quat transform vec3,nalgebra,,242664.0,34937
quat transform vec3,nalgebra,,250451.0,36064
quat transform vec3,nalgebra,,258305.0,37191
quat transform vec3,nalgebra,,266200.0,38318
quat transform vec3,nalgebra,,275635.0,39445
quat transform vec3,nalgebra,,279207.0,40572
quat transform vec3,nalgebra,,289613.0,41699
quat transform vec3,nalgebra,,297445.0,42826
quat transform vec3,nalgebra,,305308.0,43953
quat transform vec3,nalgebra,,313074.0,45080
quat transform vec3,nalgebra,,322854.0,46207
quat transform vec3,nalgebra,,328675.0,47334
quat transform vec3,nalgebra,,336490.0,48461
quat transform vec3,nalgebra,,344426.0,49588
quat transform vec3,nalgebra,,352204.0,50715
quat transform vec3,nalgebra,,360038.0,51842
quat transform vec3,nalgebra,,365753.0,52969
quat transform vec3,nalgebra,,375746.0,54096
quat transform vec3,nalgebra,,383556.0,55223
quat transform vec3,nalgebra,,391341.0,56350
quat transform vec3,nalgebra,,399191.0,57477
quat transform vec3,nalgebra,,407074.0,58604
quat transform vec3,nalgebra,,410582.0,59731
quat transform vec3,nalgebra,,422697.0,60858
quat transform vec3,nalgebra,,430326.0,61985
quat transform vec3,nalgebra,,438352.0,63112
quat transform vec3,nalgebra,,446135.0,64239
quat transform vec3,nalgebra,,454032.0,65366
quat transform vec3,nalgebra,,453478.0,66493
quat transform vec3,nalgebra,,456429.0,67620
quat transform vec3,nalgebra,,477369.0,68747
quat transform vec3,nalgebra,,485437.0,69874
quat transform vec3,nalgebra,,493575.0,71001
quat transform vec3,nalgebra,,502950.0,72128
quat transform vec3,nalgebra,,558000.0,73255
quat transform vec3,nalgebra,,516610.0,74382
quat transform vec3,nalgebra,,524398.0,75509
quat transform vec3,nalgebra,,565781.0,76636
quat transform vec3,nalgebra,,540087.0,77763
quat transform vec3,nalgebra,,542843.0,78890
quat transform vec3,nalgebra,,544004.0,80017
quat transform vec3,nalgebra,,563542.0,81144
quat transform vec3,nalgebra,,570522.0,82271
quat transform vec3,nalgebra,,579200.0,83398
quat transform vec3,nalgebra,,587089.0,84525
quat transform vec3,nalgebra,,594870.0,85652
quat transform vec3,nalgebra,,602673.0,86779
quat transform vec3,nalgebra,,609344.0,87906
quat transform vec3,nalgebra,,618426.0,89033
quat transform vec3,nalgebra,,626166.0,90160
quat transform vec3,nalgebra,,633779.0,91287
quat transform vec3,nalgebra,,641742.0,92414
quat transform vec3,nalgebra,,649598.0,93541
quat transform vec3,nalgebra,,651320.0,94668
quat transform vec3,nalgebra,,665353.0,95795
quat transform vec3,nalgebra,,673080.0,96922
quat transform vec3,nalgebra,,681066.0,98049
quat transform vec3,nalgebra,,673952.0,99176
quat transform vec3,nalgebra,,696631.0,100303
quat transform vec3,nalgebra,,704413.0,101430
quat transform vec3,nalgebra,,712167.0,102557
quat transform vec3,nalgebra,,720190.0,103684
quat transform vec3,nalgebra,,763425.0,104811
quat transform vec3,nalgebra,,743242.0,105938
quat transform vec3,nalgebra,,743492.0,107065
quat transform vec3,nalgebra,,751436.0,108192
quat transform vec3,nalgebra,,743302.0,109319
quat transform vec3,nalgebra,,759664.0,110446
quat transform vec3,nalgebra,,774773.0,111573
quat transform vec3,nalgebra,,782738.0,112700
