group,function,value,sample_time_nanos,iteration_count
quat transform vec3,nalgebra,,7577.0,316
quat transform vec3,nalgebra,,15164.0,632
quat transform vec3,nalgebra,,22708.0,948
quat transform vec3,nalgebra,,30296.0,1264
quat transform vec3,nalgebra,,40144.0,1580
quat transform vec3,nalgebra,,45355.0,1896
quat transform vec3,nalgebra,,56155.0,2212
quat transform vec3,nalgebra,,64183.0,2528
quat transform vec3,nalgebra,,78581.0,2844
quat transform vec3,nalgebra,,80270.0,3160
quat transform vec3,nalgebra,,83162.0,3476
quat transform vec3,nalgebra,,90755.0,3792
quat transform vec3,nalgebra,,98335.0,4108
quat transform vec3,nalgebra,,105918.0,4424
quat transform vec3,nalgebra,,120352.0,4740
quat transform vec3,nalgebra,,128366.0,5056
quat transform vec3,nalgebra,,136371.0,5372
quat transform vec3,nalgebra,,144387.0,5688
quat transform vec3,nalgebra,,152415.0,6004
quat transform vec3,nalgebra,,155729.0,6320
quat transform vec3,nalgebra,,168508.0,6636
quat transform vec3,nalgebra,,171257.0,6952
quat transform vec3,nalgebra,,180845.0,7268
quat transform vec3,nalgebra,,188465.0,7584
quat transform vec3,nalgebra,,194610.0,7900
quat transform vec3,nalgebra,,196608.0,8216
quat transform vec3,nalgebra,,204125.0,8532
quat transform vec3,nalgebra,,211765.0,8848
quat transform vec3,nalgebra,,219258.0,9164
quat transform vec3,nalgebra,,227035.0,9480
quat transform vec3,nalgebra,,234417.0,9796
quat transform vec3,nalgebra,,241987.0,10112
quat transform vec3,nalgebra,,249567.0,10428
quat transform vec3,nalgebra,,257123.0,10744
quat transform vec3,nalgebra,,315931.0,11060
quat transform vec3,nalgebra,,272270.0,11376
quat transform vec3,nalgebra,,279807.0,11692
quat transform vec3,nalgebra,,287358.0,12008
quat transform vec3,nalgebra,,294963.0,12324
quat transform vec3,nalgebra,,354897.0,12640
quat transform vec3,nalgebra,,310037.0,12956
quat transform vec3,nalgebra,,336957.0,13272
quat transform vec3,nalgebra,,325292.0,13588
quat transform vec3,nalgebra,,332726.0,13904
quat transform vec3,nalgebra,,340295.0,14220
quat transform vec3,nalgebra,,347851.0,14536
quat transform vec3,nalgebra,,462712.0,14852
quat transform vec3,nalgebra,,384968.0,15168
quat transform vec3,nalgebra,,392963.0,15484
quat transform vec3,nalgebra,,400988.0,15800
quat transform vec3,nalgebra,,423997.0,16116
quat transform vec3,nalgebra,,406421.0,16432
quat transform vec3,nalgebra,,400764.0,16748
quat transform vec3,nalgebra,,408331.0,17064
quat transform vec3,nalgebra,,435799.0,17380
quat transform vec3,nalgebra,,423467.0,17696
quat transform vec3,nalgebra,,431020.0,18012
quat transform vec3,nalgebra,,438580.0,18328
quat transform vec3,nalgebra,,448046.0,18644
quat transform vec3,nalgebra,,453951.0,18960
quat transform vec3,nalgebra,,461458.0,19276
quat transform vec3,nalgebra,,490425.0,19592
quat transform vec3,nalgebra,,496701.0,19908
quat transform vec3,nalgebra,,483851.0,20224
quat transform vec3,nalgebra,,524381.0,20540
quat transform vec3,nalgebra,,531567.0,20856
quat transform vec3,nalgebra,,506612.0,21172
quat transform vec3,nalgebra,,514154.0,21488
quat transform vec3,nalgebra,,543582.0,21804
quat transform vec3,nalgebra,,529294.0,22120
quat transform vec3,nalgebra,,536841.0,22436
quat transform vec3,nalgebra,,544395.0,22752
quat transform vec3,nalgebra,,574815.0,23068
quat transform vec3,nalgebra,,559543.0,23384
quat transform vec3,nalgebra,,630220.0,23700
quat transform vec3,nalgebra,,596068.0,24016
quat transform vec3,nalgebra,,582176.0,24332
quat transform vec3,nalgebra,,589941.0,24648
quat transform vec3,nalgebra,,633503.0,24964
quat transform vec3,nalgebra,,641559.0,25280
quat transform vec3,nalgebra,,630603.0,25596
quat transform vec3,nalgebra,,706670.0,25912
quat transform vec3,nalgebra,,627567.0,26228
quat transform vec3,nalgebra,,696109.0,26544
quat transform vec3,nalgebra,,643101.0,26860
quat transform vec3,nalgebra,,650663.0,27176
quat transform vec3,nalgebra,,657927.0,27492
quat transform vec3,nalgebra,,665806.0,27808
quat transform vec3,nalgebra,,675028.0,28124
quat transform vec3,nalgebra,,735786.0,28440
quat transform vec3,nalgebra,,729932.0,28756
quat transform vec3,nalgebra,,736264.0,29072
quat transform vec3,nalgebra,,724027.0,29388
quat transform vec3,nalgebra,,744361.0,29704
quat transform vec3,nalgebra,,718323.0,30020
quat transform vec3,nalgebra,,727665.0,30336
quat transform vec3,nalgebra,,733536.0,30652
quat transform vec3,nalgebra,,742956.0,30968
quat transform vec3,nalgebra,,748862.0,31284
quat transform vec3,nalgebra,,756235.0,31600
