group,function,value,sample_time_nanos,iteration_count
vec3 dot,cgmath,,7627.0,4570
vec3 dot,cgmath,,15241.0,9140
vec3 dot,cgmath,,22850.0,13710
vec3 dot,cgmath,,30295.0,18280
vec3 dot,cgmath,,38083.0,22850
vec3 dot,cgmath,,45452.0,27420
vec3 dot,cgmath,,53319.0,31990
vec3 dot,cgmath,,60601.0,36560
vec3 dot,cgmath,,68151.0,41130
vec3 dot,cgmath,,76141.0,45700
vec3 dot,cgmath,,115739.0,50270
vec3 dot,cgmath,,91372.0,54840
vec3 dot,cgmath,,98414.0,59410
vec3 dot,cgmath,,105958.0,63980
vec3 dot,cgmath,,113546.0,68550
vec3 dot,cgmath,,121820.0,73120
vec3 dot,cgmath,,128658.0,77690
vec3 dot,cgmath,,137034.0,82260
vec3 dot,cgmath,,143788.0,86830
vec3 dot,cgmath,,152260.0,91400
vec3 dot,cgmath,,159862.0,95970
vec3 dot,cgmath,,167476.0,100540
vec3 dot,cgmath,,175500.0,105110
vec3 dot,cgmath,,182726.0,109680
vec3 dot,cgmath,,189182.0,114250
vec3 dot,cgmath,,198391.0,118820
vec3 dot,cgmath,,205562.0,123390
vec3 dot,cgmath,,213160.0,127960
vec3 dot,cgmath,,244845.0,132530
vec3 dot,cgmath,,246729.0,137100
vec3 dot,cgmath,,453358.0,141670
vec3 dot,cgmath,,242171.0,146240
vec3 dot,cgmath,,251218.0,150810
vec3 dot,cgmath,,259401.0,155380
vec3 dot,cgmath,,264847.0,159950
vec3 dot,cgmath,,274979.0,164520
vec3 dot,cgmath,,279971.0,169090
vec3 dot,cgmath,,287565.0,173660
vec3 dot,cgmath,,296900.0,178230
vec3 dot,cgmath,,304492.0,182800
vec3 dot,cgmath,,312098.0,187370
vec3 dot,cgmath,,327172.0,191940
vec3 dot,cgmath,,325396.0,196510
vec3 dot,cgmath,,332920.0,201080
vec3 dot,cgmath,,342159.0,205650
vec3 dot,cgmath,,350178.0,210220
vec3 dot,cgmath,,355632.0,214790
vec3 dot,cgmath,,363191.0,219360
vec3 dot,cgmath,,373004.0,223930
vec3 dot,cgmath,,382910.0,228500
vec3 dot,cgmath,,388211.0,233070
vec3 dot,cgmath,,397064.0,237640
vec3 dot,cgmath,,402587.0,242210
vec3 dot,cgmath,,420597.0,246780
vec3 dot,cgmath,,675058.0,251350
vec3 dot,cgmath,,426282.0,255920
vec3 dot,cgmath,,433891.0,260490
vec3 dot,cgmath,,441510.0,265060
vec3 dot,cgmath,,446435.0,269630
vec3 dot,cgmath,,458212.0,274200
vec3 dot,cgmath,,464831.0,278770
vec3 dot,cgmath,,473544.0,283340
vec3 dot,cgmath,,480641.0,287910
vec3 dot,cgmath,,507155.0,292480
vec3 dot,cgmath,,495896.0,297050
vec3 dot,cgmath,,503535.0,301620
vec3 dot,cgmath,,510000.0,306190
vec3 dot,cgmath,,560030.0,310760
vec3 dot,cgmath,,525246.0,315330
vec3 dot,cgmath,,532849.0,319900
vec3 dot,cgmath,,542281.0,324470
vec3 dot,cgmath,,548057.0,329040
vec3 dot,cgmath,,667271.0,333610
vec3 dot,cgmath,,562999.0,338180
vec3 dot,cgmath,,570911.0,342750
vec3 dot,cgmath,,582013.0,347320
vec3 dot,cgmath,,586127.0,351890
vec3 dot,cgmath,,641837.0,356460
vec3 dot,cgmath,,597729.0,361030
vec3 dot,cgmath,,605327.0,365600
vec3 dot,cgmath,,616585.0,370170
vec3 dot,cgmath,,625597.0,374740
vec3 dot,cgmath,,683143.0,379310
vec3 dot,cgmath,,635562.0,383880
vec3 dot,cgmath,,647024.0,388450
vec3 dot,cgmath,,718131.0,393020
vec3 dot,cgmath,,658266.0,397590
vec3 dot,cgmath,,665807.0,402160
vec3 dot,cgmath,,673379.0,406730
vec3 dot,cgmath,,686629.0,411300
vec3 dot,cgmath,,715658.0,415870
vec3 dot,cgmath,,764716.0,420440
vec3 dot,cgmath,,703664.0,425010
vec3 dot,cgmath,,711207.0,429580
vec3 dot,cgmath,,741917.0,434150
vec3 dot,cgmath,,726358.0,438720
vec3 dot,cgmath,,733946.0,443290
vec3 dot,cgmath,,741479.0,447860
vec3 dot,cgmath,,756153.0,452430
vec3 dot,cgmath,,761219.0,457000
