group,function,value,sample_time_nanos,iteration_count
vec3 length,cgmath,,977506.0,485092
vec3 length,cgmath,,1986599.0,970184
vec3 length,cgmath,,2973909.0,1455276
vec3 length,cgmath,,3964638.0,1940368
vec3 length,cgmath,,4952321.0,2425460
vec3 length,cgmath,,6015099.0,2910552
vec3 length,cgmath,,7248119.0,3395644
vec3 length,cgmath,,8036896.0,3880736
vec3 length,cgmath,,8887654.0,4365828
vec3 length,cgmath,,9818052.0,4850920
vec3 length,cgmath,,10799277.0,5336012
vec3 length,cgmath,,11818817.0,5821104
vec3 length,cgmath,,12774592.0,6306196
vec3 length,cgmath,,13752204.0,6791288
vec3 length,cgmath,,15034395.0,7276380
vec3 length,cgmath,,15772494.0,7761472
vec3 length,cgmath,,16706636.0,8246564
vec3 length,cgmath,,17664735.0,8731656
vec3 length,cgmath,,18642337.0,9216748
vec3 length,cgmath,,19862497.0,9701840
vec3 length,cgmath,,20710008.0,10186932
vec3 length,cgmath,,21605884.0,10672024
vec3 length,cgmath,,22634489.0,11157116
vec3 length,cgmath,,23668297.0,11642208
vec3 length,cgmath,,24908150.0,12127300
vec3 length,cgmath,,25565522.0,12612392
vec3 length,cgmath,,26550301.0,13097484
vec3 length,cgmath,,27809915.0,13582576
vec3 length,cgmath,,28583641.0,14067668
vec3 length,cgmath,,29461942.0,14552760
vec3 length,cgmath,,30701753.0,15037852
vec3 length,cgmath,,31479335.0,15522944
vec3 length,cgmath,,32393704.0,16008036
vec3 length,cgmath,,33394032.0,16493128
vec3 length,cgmath,,34727295.0,16978220
vec3 length,cgmath,,35393037.0,17463312
vec3 length,cgmath,,36367581.0,17948404
vec3 length,cgmath,,37653584.0,18433496
vec3 length,cgmath,,38259552.0,18918588
vec3 length,cgmath,,39318491.0,19403680
vec3 length,cgmath,,40533038.0,19888772
vec3 length,cgmath,,41268683.0,20373864
vec3 length,cgmath,,42284934.0,20858956
vec3 length,cgmath,,43326762.0,21344048
vec3 length,cgmath,,44337925.0,21829140
vec3 length,cgmath,,45169620.0,22314232
vec3 length,cgmath,,46234183.0,22799324
vec3 length,cgmath,,47576856.0,23284416
vec3 length,cgmath,,48101622.0,23769508
vec3 length,cgmath,,49164517.0,24254600
vec3 length,cgmath,,50411874.0,24739692
vec3 length,cgmath,,51776853.0,25224784
vec3 length,cgmath,,52113692.0,25709876
vec3 length,cgmath,,52994545.0,26194968
vec3 length,cgmath,,54401489.0,26680060
vec3 length,cgmath,,54970189.0,27165152
vec3 length,cgmath,,56025694.0,27650244
vec3 length,cgmath,,57230123.0,28135336
vec3 length,cgmath,,58153067.0,28620428
vec3 length,cgmath,,59002998.0,29105520
vec3 length,cgmath,,59909840.0,29590612
vec3 length,cgmath,,61104299.0,30075704
vec3 length,cgmath,,61815717.0,30560796
vec3 length,cgmath,,62771853.0,31045888
vec3 length,cgmath,,63796778.0,31530980
vec3 length,cgmath,,65227400.0,32016072
vec3 length,cgmath,,65774116.0,32501164
vec3 length,cgmath,,66792913.0,32986256
vec3 length,cgmath,,67958887.0,33471348
vec3 length,cgmath,,72683569.0,33956440
vec3 length,cgmath,,72608075.0,34441532
vec3 length,cgmath,,71170455.0,34926624
vec3 length,cgmath,,71507830.0,35411716
vec3 length,cgmath,,72441727.0,35896808
vec3 length,cgmath,,75114585.0,36381900
vec3 length,cgmath,,91412408.0,36866992
vec3 length,cgmath,,77893785.0,37352084
vec3 length,cgmath,,77401953.0,37837176
vec3 length,cgmath,,77362597.0,38322268
vec3 length,cgmath,,78245930.0,38807360
vec3 length,cgmath,,79245442.0,39292452
vec3 length,cgmath,,80262427.0,39777544
vec3 length,cgmath,,81305911.0,40262636
vec3 length,cgmath,,82266481.0,40747728
vec3 length,cgmath,,83134933.0,41232820
vec3 length,cgmath,,84222209.0,41717912
vec3 length,cgmath,,85130929.0,42203004
vec3 length,cgmath,,86188848.0,42688096
vec3 length,cgmath,,87066725.0,43173188
vec3 length,cgmath,,88232578.0,43658280
vec3 length,cgmath,,89091183.0,44143372
vec3 length,cgmath,,91075280.0,44628464
vec3 length,cgmath,,92673602.0,45113556
vec3 length,cgmath,,93555783.0,45598648
vec3 length,cgmath,,98394125.0,46083740
vec3 length,cgmath,,97274981.0,46568832
vec3 length,cgmath,,98237314.0,47053924
vec3 length,cgmath,,99332668.0,47539016
vec3 length,cgmath,,100385770.0,48024108
vec3 length,cgmath,,100480349.0,48509200
