group,function,value,sample_time_nanos,iteration_count
vec3 length,nalgebra,,972692.0,11675
vec3 length,nalgebra,,1943762.0,23350
vec3 length,nalgebra,,2917008.0,35025
vec3 length,nalgebra,,3957451.0,46700
vec3 length,nalgebra,,5050576.0,58375
vec3 length,nalgebra,,5830321.0,70050
vec3 length,nalgebra,,7079282.0,81725
vec3 length,nalgebra,,7924802.0,93400
vec3 length,nalgebra,,8804625.0,105075
vec3 length,nalgebra,,9746214.0,116750
vec3 length,nalgebra,,10791882.0,128425
vec3 length,nalgebra,,11680520.0,140100
vec3 length,nalgebra,,12687353.0,151775
vec3 length,nalgebra,,13668091.0,163450
vec3 length,nalgebra,,14645974.0,175125
vec3 length,nalgebra,,15643000.0,186800
vec3 length,nalgebra,,16596899.0,198475
vec3 length,nalgebra,,17504892.0,210150
vec3 length,nalgebra,,18574526.0,221825
vec3 length,nalgebra,,19553708.0,233500
vec3 length,nalgebra,,20500695.0,245175
vec3 length,nalgebra,,21476920.0,256850
vec3 length,nalgebra,,22617637.0,268525
vec3 length,nalgebra,,23569663.0,280200
vec3 length,nalgebra,,24347353.0,291875
vec3 length,nalgebra,,25377129.0,303550
vec3 length,nalgebra,,26328284.0,315225
vec3 length,nalgebra,,27722585.0,326900
vec3 length,nalgebra,,28325962.0,338575
vec3 length,nalgebra,,30233041.0,350250
vec3 length,nalgebra,,35884702.0,361925
vec3 length,nalgebra,,37075600.0,373600
vec3 length,nalgebra,,38178503.0,385275
vec3 length,nalgebra,,39327779.0,396950
vec3 length,nalgebra,,40586196.0,408625
vec3 length,nalgebra,,41675803.0,420300
vec3 length,nalgebra,,42863677.0,431975
vec3 length,nalgebra,,43971980.0,443650
vec3 length,nalgebra,,45176847.0,455325
vec3 length,nalgebra,,46301205.0,467000
vec3 length,nalgebra,,47464870.0,478675
vec3 length,nalgebra,,48639791.0,490350
vec3 length,nalgebra,,46172941.0,502025
vec3 length,nalgebra,,43310378.0,513700
vec3 length,nalgebra,,44038004.0,525375
vec3 length,nalgebra,,44872081.0,537050
vec3 length,nalgebra,,45837488.0,548725
vec3 length,nalgebra,,50443572.0,560400
vec3 length,nalgebra,,56723089.0,572075
vec3 length,nalgebra,,57870691.0,583750
vec3 length,nalgebra,,59013691.0,595425
vec3 length,nalgebra,,60225455.0,607100
vec3 length,nalgebra,,61416413.0,618775
vec3 length,nalgebra,,62821263.0,630450
vec3 length,nalgebra,,63717458.0,642125
vec3 length,nalgebra,,64886582.0,653800
vec3 length,nalgebra,,65946016.0,665475
vec3 length,nalgebra,,65415694.0,677150
vec3 length,nalgebra,,57623744.0,688825
vec3 length,nalgebra,,58665784.0,700500
vec3 length,nalgebra,,59479401.0,712175
vec3 length,nalgebra,,60657334.0,723850
vec3 length,nalgebra,,61517506.0,735525
vec3 length,nalgebra,,62894989.0,747200
vec3 length,nalgebra,,63447539.0,758875
vec3 length,nalgebra,,64417350.0,770550
vec3 length,nalgebra,,65359944.0,782225
vec3 length,nalgebra,,66399740.0,793900
vec3 length,nalgebra,,67416078.0,805575
vec3 length,nalgebra,,68424507.0,817250
vec3 length,nalgebra,,69497077.0,828925
vec3 length,nalgebra,,70229511.0,840600
vec3 length,nalgebra,,71641188.0,852275
vec3 length,nalgebra,,72183458.0,863950
vec3 length,nalgebra,,73350928.0,875625
vec3 length,nalgebra,,74190676.0,887300
vec3 length,nalgebra,,75146583.0,898975
vec3 length,nalgebra,,76131332.0,910650
vec3 length,nalgebra,,77351426.0,922325
vec3 length,nalgebra,,78098119.0,934000
vec3 length,nalgebra,,79286811.0,945675
vec3 length,nalgebra,,80128129.0,957350
vec3 length,nalgebra,,80905424.0,969025
vec3 length,nalgebra,,82247783.0,980700
vec3 length,nalgebra,,82955972.0,992375
vec3 length,nalgebra,,83949002.0,1004050
vec3 length,nalgebra,,84940859.0,1015725
vec3 length,nalgebra,,86288689.0,1027400
vec3 length,nalgebra,,86906936.0,1039075
vec3 length,nalgebra,,87899128.0,1050750
vec3 length,nalgebra,,89048556.0,1062425
vec3 length,nalgebra,,89832578.0,1074100
vec3 length,nalgebra,,93759775.0,1085775
vec3 length,nalgebra,,109164950.0,1097450
vec3 length,nalgebra,,110047936.0,1109125
vec3 length,nalgebra,,111115385.0,1120800
vec3 length,nalgebra,,112426984.0,1132475
vec3 length,nalgebra,,113430511.0,1144150
vec3 length,nalgebra,,101257271.0,1155825
vec3 length,nalgebra,,97650227.0,1167500
