group,function,value,sample_time_nanos,iteration_count
vec3 normalize,nalgebra,,968602.0,11410
vec3 normalize,nalgebra,,1957969.0,22820
vec3 normalize,nalgebra,,2906965.0,34230
vec3 normalize,nalgebra,,3889915.0,45640
vec3 normalize,nalgebra,,5052161.0,57050
vec3 normalize,nalgebra,,5834374.0,68460
vec3 normalize,nalgebra,,7125840.0,79870
vec3 normalize,nalgebra,,7980203.0,91280
vec3 normalize,nalgebra,,8773065.0,102690
vec3 normalize,nalgebra,,9745239.0,114100
vec3 normalize,nalgebra,,10681712.0,125510
vec3 normalize,nalgebra,,11615114.0,136920
vec3 normalize,nalgebra,,12637929.0,148330
vec3 normalize,nalgebra,,13574869.0,159740
vec3 normalize,nalgebra,,14577558.0,171150
vec3 normalize,nalgebra,,15568434.0,182560
vec3 normalize,nalgebra,,16586805.0,193970
vec3 normalize,nalgebra,,17472801.0,205380
vec3 normalize,nalgebra,,18445950.0,216790
vec3 normalize,nalgebra,,19407975.0,228200
vec3 normalize,nalgebra,,20407267.0,239610
vec3 normalize,nalgebra,,21283610.0,251020
vec3 normalize,nalgebra,,22282822.0,262430
vec3 normalize,nalgebra,,23295587.0,273840
vec3 normalize,nalgebra,,24222311.0,285250
vec3 normalize,nalgebra,,25254976.0,296660
vec3 normalize,nalgebra,,26137317.0,308070
vec3 normalize,nalgebra,,27213575.0,319480
vec3 normalize,nalgebra,,28153394.0,330890
vec3 normalize,nalgebra,,29200804.0,342300
vec3 normalize,nalgebra,,30076619.0,353710
vec3 normalize,nalgebra,,31111231.0,365120
vec3 normalize,nalgebra,,32012305.0,376530
vec3 normalize,nalgebra,,33108240.0,387940
vec3 normalize,nalgebra,,34386740.0,399350
vec3 normalize,nalgebra,,34983621.0,410760
vec3 normalize,nalgebra,,35872618.0,422170
vec3 normalize,nalgebra,,36919775.0,433580
vec3 normalize,nalgebra,,37865781.0,444990
vec3 normalize,nalgebra,,38878397.0,456400
vec3 normalize,nalgebra,,39796593.0,467810
vec3 normalize,nalgebra,,40705323.0,479220
vec3 normalize,nalgebra,,41832145.0,490630
vec3 normalize,nalgebra,,42702872.0,502040
vec3 normalize,nalgebra,,43663782.0,513450
vec3 normalize,nalgebra,,44620120.0,524860
vec3 normalize,nalgebra,,45614647.0,536270
vec3 normalize,nalgebra,,46485270.0,547680
vec3 normalize,nalgebra,,47478571.0,559090
vec3 normalize,nalgebra,,48996309.0,570500
vec3 normalize,nalgebra,,49530651.0,581910
vec3 normalize,nalgebra,,50575523.0,593320
vec3 normalize,nalgebra,,51508913.0,604730
vec3 normalize,nalgebra,,52359468.0,616140
vec3 normalize,nalgebra,,53577963.0,627550
vec3 normalize,nalgebra,,54569796.0,638960
vec3 normalize,nalgebra,,55362433.0,650370
vec3 normalize,nalgebra,,56331097.0,661780
vec3 normalize,nalgebra,,57326019.0,673190
vec3 normalize,nalgebra,,58252202.0,684600
vec3 normalize,nalgebra,,59731394.0,696010
vec3 normalize,nalgebra,,60168749.0,707420
vec3 normalize,nalgebra,,61224678.0,718830
vec3 normalize,nalgebra,,62062824.0,730240
vec3 normalize,nalgebra,,63005267.0,741650
vec3 normalize,nalgebra,,63963641.0,753060
vec3 normalize,nalgebra,,65070924.0,764470
vec3 normalize,nalgebra,,65972734.0,775880
vec3 normalize,nalgebra,,66976794.0,787290
vec3 normalize,nalgebra,,68201501.0,798700
vec3 normalize,nalgebra,,69071832.0,810110
vec3 normalize,nalgebra,,70073521.0,821520
vec3 normalize,nalgebra,,71095680.0,832930
vec3 normalize,nalgebra,,72063109.0,844340
vec3 normalize,nalgebra,,86915898.0,855750
vec3 normalize,nalgebra,,88097807.0,867160
vec3 normalize,nalgebra,,89213434.0,878570
vec3 normalize,nalgebra,,90883993.0,889980
vec3 normalize,nalgebra,,91565353.0,901390
vec3 normalize,nalgebra,,92703213.0,912800
vec3 normalize,nalgebra,,93966193.0,924210
vec3 normalize,nalgebra,,80140505.0,935620
vec3 normalize,nalgebra,,80645780.0,947030
vec3 normalize,nalgebra,,81781271.0,958440
vec3 normalize,nalgebra,,82741083.0,969850
vec3 normalize,nalgebra,,83437121.0,981260
vec3 normalize,nalgebra,,84466237.0,992670
vec3 normalize,nalgebra,,85412654.0,1004080
vec3 normalize,nalgebra,,86437506.0,1015490
vec3 normalize,nalgebra,,87386704.0,1026900
vec3 normalize,nalgebra,,88439086.0,1038310
vec3 normalize,nalgebra,,89598299.0,1049720
vec3 normalize,nalgebra,,90301359.0,1061130
vec3 normalize,nalgebra,,91305212.0,1072540
vec3 normalize,nalgebra,,92107183.0,1083950
vec3 normalize,nalgebra,,93122524.0,1095360
vec3 normalize,nalgebra,,94147144.0,1106770
vec3 normalize,nalgebra,,95422555.0,1118180
vec3 normalize,nalgebra,,96042732.0,1129590
vec3 normalize,nalgebra,,97072760.0,1141000
